GEOID,NEIGH_NAME_max
"18097355400",Near Eastside
"18097355500",Southeast
"18097355600",Near Southeast
"18097355700",Near Eastside
"18097380600",University Heights
"18097330500",Millersville
"18097330600",Lawrence-Fort Ben-Oaklandon
"18097330900",Lawrence
"18097340101",Chapel Hill / Ben Davis
"18097355900",Fountain Square
"18097380700",Southdale
"18097380800",Homecroft
"18097380901",South Perry
"18097380902",South Perry
"18097381002",Southport
"18097381101",Southdale
"18097381102",South Perry
"18097340102",Chapel Hill / Ben Davis
"18097381203",South Perry
"18097381204",South Perry
"18097381205",Southport
