GEOID,value,zscore_raw,zscore
18011810605,235214.31639166665,0.2360494908938675,0.2360494908938675
18057110805,318192.01886666665,1.504813156488399,1.504813156488399
18057110807,318192.01886666665,1.504813156488399,1.504813156488399
18057110810,318192.01886666665,1.504813156488399,1.504813156488399
18057110813,318192.0188666667,1.5048131564884,1.5048131564884
18057110822,318192.01886666665,1.504813156488399,1.504813156488399
18057111006,299931.0927166667,1.2255959823782168,1.2255959823782168
18057111101,299931.0927166667,1.2255959823782168,1.2255959823782168
18057111103,259869.5573391856,0.6130384041518026,0.6130384041518026
18057111104,299931.0927166667,1.2255959823782168,1.2255959823782168
18059410801,204998.5143112885,-0.22596272037372872,-0.22596272037372872
18059410802,277798.65036666667,0.8871817114720533,0.8871817114720533
18059410901,204459.77593938232,-0.23420025468895114,-0.23420025468895114
18059410902,204674.92643333337,-0.23091051393670448,-0.23091051393670448
18063210106,392408.5198321394,2.6396143983150617,2.6396143983150617
18063210107,394134.44823333336,2.6660045631368976,2.6660045631368976
18063210108,266213.956675,0.7100469150795261,0.7100469150795261
18063210109,266213.956675,0.7100469150795261,0.7100469150795261
18063210607,244759.55299166663,0.38200013807202743,0.38200013807202743
18063210608,244759.55299166663,0.38200013807202743,0.38200013807202743
18063210611,266213.956675,0.7100469150795261,0.7100469150795261
18063210614,244759.55299166663,0.38200013807202743,0.38200013807202743
18063210616,266213.956675,0.7100469150795261,0.7100469150795261
18063210617,266213.956675,0.7100469150795261,0.7100469150795261
18097310104,235214.31639166665,0.2360494908938675,0.2360494908938675
18097310105,291512.2036251945,1.0968676581980155,1.0968676581980155
18097310106,241151.8074608238,0.32683620477773623,0.32683620477773623
18097310108,241217.38367081553,0.3278388923682968,0.3278388923682968
18097310110,205798.2096,-0.21373504600337653,-0.21373504600337653
18097310111,205798.2096,-0.21373504600337653,-0.21373504600337653
18097310112,394134.44823333336,2.6660045631368976,2.6660045631368976
18097310113,394054.81611471577,2.664786954843311,2.664786954843311
18097310201,235214.31639166665,0.2360494908938675,0.2360494908938675
18097310203,284856.18646031286,0.9950943807453206,0.9950943807453206
18097310204,236529.0251090703,0.25615193530638536,0.25615193530638536
18097310305,205798.20960000003,-0.2137350460033761,-0.2137350460033761
18097310306,205798.2096,-0.21373504600337653,-0.21373504600337653
18097310308,239991.097345977,0.3090884632028311,0.3090884632028311
18097310309,205798.2096,-0.21373504600337653,-0.21373504600337653
18097310310,205798.2096,-0.21373504600337653,-0.21373504600337653
18097310311,247271.3160874376,0.420406043001193,0.420406043001193
18097310312,205798.2096,-0.21373504600337653,-0.21373504600337653
18097320105,288237.951275,1.0468029746745606,1.0468029746745606
18097320106,288237.951275,1.0468029746745606,1.0468029746745606
18097320107,288237.951275,1.0468029746745606,1.0468029746745606
18097320108,288237.951275,1.0468029746745606,1.0468029746745606
18097320109,288237.951275,1.0468029746745606,1.0468029746745606
