GEOID,NAME,value,zscore_raw,zscore
18097310103,"Census Tract 3101.03, Marion County, Indiana",160411,3.0902934599906504,3.0902934599906504
18097310104,Census Tract 3101.04; Marion County; Indiana,70062,0.11718306385222797,0.11718306385222797
18097310105,Census Tract 3101.05; Marion County; Indiana,59895,-0.21738193850019805,-0.21738193850019805
18097310106,Census Tract 3101.06; Marion County; Indiana,60417,-0.20020450845908797,-0.20020450845908797
18097310108,Census Tract 3101.08; Marion County; Indiana,129474,2.072251020945012,2.072251020945012
18097310110,Census Tract 3101.10; Marion County; Indiana,61222,-0.17371441040718444,-0.17371441040718444
18097310111,Census Tract 3101.11; Marion County; Indiana,52958,-0.4456574791039926,-0.4456574791039926
18097310112,Census Tract 3101.12; Marion County; Indiana,147944,2.6800424632042144,2.6800424632042144
18097310113,Census Tract 3101.13; Marion County; Indiana,196111,4.265071721422893,4
18097310201,Census Tract 3102.01; Marion County; Indiana,70339,0.12629829013841093,0.12629829013841093
18097310203,Census Tract 3102.03; Marion County; Indiana,58571,-0.26095074573090643,-0.26095074573090643
18097310204,Census Tract 3102.04; Marion County; Indiana,92725,0.8629533646600406,0.8629533646600406
18097310305,Census Tract 3103.05; Marion County; Indiana,46388,-0.6618561675524474,-0.6618561675524474
18097310306,Census Tract 3103.06; Marion County; Indiana,55060,-0.3764870615821278,-0.3764870615821278
18097310308,Census Tract 3103.08; Marion County; Indiana,67122,0.020436618793102122,0.020436618793102122
18097310309,Census Tract 3103.09; Marion County; Indiana,41950,-0.8078972298559849,-0.8078972298559849
18097310310,Census Tract 3103.10; Marion County; Indiana,76739,0.3369027963895692,0.3369027963895692
18097310311,Census Tract 3103.11; Marion County; Indiana,96144,0.9754622407339016,0.9754622407339016
18097310312,Census Tract 3103.12; Marion County; Indiana,55773,-0.3530244033075847,-0.3530244033075847
18097320105,Census Tract 3201.05; Marion County; Indiana,83429,0.5570503193302332,0.5570503193302332
18097320106,Census Tract 3201.06; Marion County; Indiana,71721,0.17177570070702042,0.17177570070702042
18097320107,Census Tract 3201.07; Marion County; Indiana,119265,1.7363039265203128,1.7363039265203128
18097320108,Census Tract 3201.08; Marion County; Indiana,47679,-0.6193732898070965,-0.6193732898070965
18097320109,Census Tract 3201.09; Marion County; Indiana,74688,0.2694106335268933,0.2694106335268933
18097320202,Census Tract 3202.02; Marion County; Indiana,94500,0.9213632081906353,0.9213632081906353
18097320203,Census Tract 3202.03; Marion County; Indiana,52936,-0.446381432094231,-0.446381432094231
18097320204,"Census Tract 3202.04, Marion County, Indiana",47478,-0.6259875875815469,-0.6259875875815469
18097320205,Census Tract 3202.05; Marion County; Indiana,69085,0.08503296969482459,0.08503296969482459
18097320206,Census Tract 3202.06; Marion County; Indiana,41453,-0.8242519860445514,-0.8242519860445514
18097320301,Census Tract 3203.01; Marion County; Indiana,82535,0.5276315023632745,0.5276315023632745
18097320303,Census Tract 3203.03; Marion County; Indiana,58277,-0.27062539023681903,-0.27062539023681903
18097320304,"Census Tract 3203.04, Marion County, Indiana",114724,1.5868734479442956,1.5868734479442956
18097320305,Census Tract 3203.05; Marion County; Indiana,129202,2.063300329429338,2.063300329429338
18097320306,Census Tract 3203.06; Marion County; Indiana,71838,0.1756258143369244,0.1756258143369244
18097320400,Census Tract 3204; Marion County; Indiana,74375,0.25911075689304763,0.25911075689304763
18097320500,Census Tract 3205; Marion County; Indiana,71481,0.16387803172260199,0.16387803172260199
18097320600,Census Tract 3206; Marion County; Indiana,68813,0.07608227817915036,0.07608227817915036
18097320700,Census Tract 3207; Marion County; Indiana,125757,1.9499358725488314,1.9499358725488314
18097320800,Census Tract 3208; Marion County; Indiana,193438,4.177111433108933,4
18097320901,Census Tract 3209.01; Marion County; Indiana,86711,0.6650509426921553,0.6650509426921553
18097320902,Census Tract 3209.02; Marion County; Indiana,49325,-0.5652084433556267,-0.5652084433556267
18097320903,Census Tract 3209.03; Marion County; Indiana,44744,-0.7159552000957137,-0.7159552000957137
18097321001,Census Tract 3210.01; Marion County; Indiana,77589,0.3648737073760512,0.3648737073760512
18097321002,Census Tract 3210.02; Marion County; Indiana,102460,1.1833025628405134,1.1833025628405134
18097321100,Census Tract 3211; Marion County; Indiana,92885,0.8682184773163196,0.8682184773163196
18097321200,Census Tract 3212; Marion County; Indiana,137790,2.345905251255111,2.345905251255111
18097321300,Census Tract 3213; Marion County; Indiana,110300,1.4412930829981825,1.4412930829981825
18097321400,Census Tract 3214; Marion County; Indiana,74773,0.27220772462554155,0.27220772462554155
18097321600,Census Tract 3216; Marion County; Indiana,57695,-0.2897772375240337,-0.2897772375240337
18097321700,Census Tract 3217; Marion County; Indiana,108429,1.3797241718738202,1.3797241718738202
18097321800,Census Tract 3218; Marion County; Indiana,139023,2.3864795256625606,2.3864795256625606
18097321900,Census Tract 3219; Marion County; Indiana,144844,2.5780309054888093,2.5780309054888093
18097322000,Census Tract 3220; Marion County; Indiana,59311,-0.23659959969561625,-0.23659959969561625
18097322100,Census Tract 3221; Marion County; Indiana,108250,1.3738338270896082,1.3738338270896082
18097322200,Census Tract 3222; Marion County; Indiana,103534,1.218644631545786,1.218644631545786
18097322300,Census Tract 3223; Marion County; Indiana,108264,1.3742945244470326,1.3742945244470326
18097322400,Census Tract 3224; Marion County; Indiana,57109,-0.3090607126276554,-0.3090607126276554
18097322500,Census Tract 3225; Marion County; Indiana,40000,-0.8720657903543847,-0.8720657903543847
18097322600,"Census Tract 3226, Marion County, Indiana",30171,-1.1955082422204215,-1.1955082422204215
18097322601,Census Tract 3226.01; Marion County; Indiana,27000,-1.29985619367705,-1.29985619367705
18097322602,Census Tract 3226.02; Marion County; Indiana,67212,0.023398244662259034,0.023398244662259034
18097322700,Census Tract 3227; Marion County; Indiana,59493,-0.23061053404909895,-0.23061053404909895
18097330103,Census Tract 3301.03; Marion County; Indiana,71458,0.16312117177826188,0.16312117177826188
18097330105,Census Tract 3301.05; Marion County; Indiana,66156,-0.011351498869182085,-0.011351498869182085
18097330106,Census Tract 3301.06; Marion County; Indiana,46800,-0.6482985024625291,-0.6482985024625291
18097330107,Census Tract 3301.07; Marion County; Indiana,121216,1.8005053939728144,1.8005053939728144
18097330108,Census Tract 3301.08; Marion County; Indiana,145602,2.602974376697931,2.602974376697931
18097330109,Census Tract 3301.09; Marion County; Indiana,86735,0.6658407095905972,0.6658407095905972
18097330202,"Census Tract 3302.02, Marion County, Indiana",37819,-0.9438358572502873,-0.9438358572502873
18097330203,Census Tract 3302.03; Marion County; Indiana,188984,4.030543859539767,4
