GEOID,NAME,value,zscore
18097310103,"Census Tract 3101.03, Marion County, Indiana",42.34668242943697,-0.2142997126438119
18097310104,Census Tract 3101.04; Marion County; Indiana,32.97872340425532,-0.7547043569484476
18097310105,Census Tract 3101.05; Marion County; Indiana,70.09569377990431,1.3864432633176818
18097310106,Census Tract 3101.06; Marion County; Indiana,35.51000953288847,-0.6086833531951001
18097310108,Census Tract 3101.08; Marion County; Indiana,44.20600858369099,-0.1070417190579073
18097310110,Census Tract 3101.10; Marion County; Indiana,39.75903614457831,-0.3635719358032359
18097310111,Census Tract 3101.11; Marion County; Indiana,38.03967327887981,-0.46275593899654405
18097310112,Census Tract 3101.12; Marion County; Indiana,33.898305084745765,-0.7016569205091254
18097310113,Census Tract 3101.13; Marion County; Indiana,NA,NA
18097310201,Census Tract 3102.01; Marion County; Indiana,49.10277324632953,0.1754354308360503
18097310203,Census Tract 3102.03; Marion County; Indiana,65.26104417670683,1.1075493129779683
18097310204,Census Tract 3102.04; Marion County; Indiana,62.70627062706271,0.9601734024233687
18097310305,Census Tract 3103.05; Marion County; Indiana,38.84970157352143,-0.41602825249985736
18097310306,Census Tract 3103.06; Marion County; Indiana,33.25635103926097,-0.738688994056587
18097310308,Census Tract 3103.08; Marion County; Indiana,41.004184100418414,-0.29174372473040106
18097310309,Census Tract 3103.09; Marion County; Indiana,34.91902834008097,-0.6427749819513086
18097310310,Census Tract 3103.10; Marion County; Indiana,61.77606177606177,0.9065129218530625
18097310311,Census Tract 3103.11; Marion County; Indiana,22.093023255813954,-1.382662154470017
18097310312,Census Tract 3103.12; Marion County; Indiana,57.52427184466019,0.6612420982552244
18097320105,Census Tract 3201.05; Marion County; Indiana,28.026905829596412,-1.0403573159229456
18097320106,Census Tract 3201.06; Marion County; Indiana,36.2089914945322,-0.5683615395170014
18097320107,Census Tract 3201.07; Marion County; Indiana,11.03896103896104,-2.0203321682224398
18097320108,Census Tract 3201.08; Marion County; Indiana,54.35356200527705,0.478334987075601
18097320109,Census Tract 3201.09; Marion County; Indiana,13.0718954248366,-1.9030593256811112
18097320202,Census Tract 3202.02; Marion County; Indiana,55.75501583949313,0.5591799351323872
18097320203,Census Tract 3202.03; Marion County; Indiana,45.981173062997826,-0.004638716819814739
18097320204,"Census Tract 3202.04, Marion County, Indiana",31.54762288553237,-0.8372595180786128
18097320205,Census Tract 3202.05; Marion County; Indiana,25.31328320802005,-1.1968966713629159
18097320206,Census Tract 3202.06; Marion County; Indiana,50.142450142450144,0.23541073834214987
18097320301,Census Tract 3203.01; Marion County; Indiana,41.64222873900293,-0.2549371711323445
18097320303,Census Tract 3203.03; Marion County; Indiana,43.065693430656935,-0.1728224940393184
18097320304,"Census Tract 3203.04, Marion County, Indiana",20.967936232292175,-1.4475644721598897
18097320305,Census Tract 3203.05; Marion County; Indiana,53.333333333333336,0.41948157929605084
18097320306,Census Tract 3203.06; Marion County; Indiana,39.45371775417299,-0.38118468108992337
18097320400,Census Tract 3204; Marion County; Indiana,54.289940828402365,0.4746649048979584
18097320500,Census Tract 3205; Marion County; Indiana,65.87183308494784,1.1427835792483416
18097320600,Census Tract 3206; Marion County; Indiana,35.714285714285715,-0.5968993779608843
18097320700,Census Tract 3207; Marion County; Indiana,36.2962962962963,-0.5633252322256702
18097320800,Census Tract 3208; Marion County; Indiana,22.388059701492537,-1.3656425384517086
18097320901,Census Tract 3209.01; Marion County; Indiana,58.74673629242819,0.731761777439914
18097320902,Census Tract 3209.02; Marion County; Indiana,61.96261682242991,0.9172746270659919
18097320903,Census Tract 3209.03; Marion County; Indiana,57.47663551401869,0.6584941256982245
18097321001,Census Tract 3210.01; Marion County; Indiana,36.22047244094488,-0.567699244053737
18097321002,Census Tract 3210.02; Marion County; Indiana,59.23566878980892,0.7599665754781812
18097321100,Census Tract 3211; Marion County; Indiana,37.634408602150536,-0.4861342344062926
18097321200,Census Tract 3212; Marion County; Indiana,34.29951690821256,-0.6785124199654562
18097321300,Census Tract 3213; Marion County; Indiana,23.954372623574145,-1.2752874488049697
18097321400,Census Tract 3214; Marion County; Indiana,27.56756756756757,-1.0668549264953182
18097321600,Census Tract 3216; Marion County; Indiana,66.27659574468085,1.1661329150612803
18097321700,Census Tract 3217; Marion County; Indiana,77.03435804701627,1.786710427716943
18097321800,Census Tract 3218; Marion County; Indiana,47.48201438848921,0.08193954643685486
18097321900,Census Tract 3219; Marion County; Indiana,63.25757575757576,0.9919762585372114
18097322000,Census Tract 3220; Marion County; Indiana,41.971830985915496,-0.23592357547869147
18097322100,Census Tract 3221; Marion County; Indiana,21.05263157894737,-1.4426786951661574
18097322200,Census Tract 3222; Marion County; Indiana,25.81967213114754,-1.1676848734518748
18097322300,Census Tract 3223; Marion County; Indiana,8.219178082191782,-2.182995540433295
18097322400,Census Tract 3224; Marion County; Indiana,52.54237288135593,0.3738538496528167
18097322500,Census Tract 3225; Marion County; Indiana,53.4804753820034,0.42796968713897116
18097322600,"Census Tract 3226, Marion County, Indiana",14.273629124061408,-1.83373553054785
18097322601,Census Tract 3226.01; Marion County; Indiana,49.40047961630695,0.19260906540708278
18097322602,Census Tract 3226.02; Marion County; Indiana,30.458715596330276,-0.9000747540035556
18097322700,Census Tract 3227; Marion County; Indiana,24.193548387096776,-1.2614902392884355
18097330103,Census Tract 3301.03; Marion County; Indiana,35.56085918854415,-0.6057500152072037
18097330105,Census Tract 3301.05; Marion County; Indiana,31.878999418266435,-0.8181435701094035
18097330106,Census Tract 3301.06; Marion County; Indiana,52.965599051008304,0.3982682804863215
18097330107,Census Tract 3301.07; Marion County; Indiana,0,-2.6571310480762933
18097330108,Census Tract 3301.08; Marion County; Indiana,0,-2.6571310480762933
18097330109,Census Tract 3301.09; Marion County; Indiana,23.529411764705884,-1.299801947764965
18097330202,"Census Tract 3302.02, Marion County, Indiana",24.89294464002635,-1.2211445266015601
18097330203,Census Tract 3302.03; Marion County; Indiana,0,-2.6571310480762933
18097330204,Census Tract 3302.04; Marion County; Indiana,30,-0.9265364451793499
18097330206,Census Tract 3302.06; Marion County; Indiana,30.434782608695652,-0.9014553639779449
18097330208,Census Tract 3302.08; Marion County; Indiana,48.67256637168141,0.1506183076562107
18097330209,"Census Tract 3302.09, Marion County, Indiana",62.97146291367549,0.9754714137547679
18097330210,Census Tract 3302.10; Marion County; Indiana,65.47884187082406,1.1201132967767238
18097330211,Census Tract 3302.11; Marion County; Indiana,49.056603773584904,0.17277207615770224
18097330212,Census Tract 3302.12; Marion County; Indiana,34.32835820895522,-0.6768486666519302
18097330213,Census Tract 3302.13; Marion County; Indiana,11.382113821138212,-2.0005368897956104
18097330401,Census Tract 3304.01; Marion County; Indiana,44.38202247191011,-0.09688809622500989
18097330500,Census Tract 3305; Marion County; Indiana,54.653130287648054,0.49561602883128003
18097330600,Census Tract 3306; Marion County; Indiana,70.66666666666667,1.4193806831920628
18097330700,"Census Tract 3307, Marion County, Indiana",60.04220667167242,0.8064929123243447
18097330701,Census Tract 3307.01; Marion County; Indiana,61.69491525423729,0.9018318640959521
18097330702,Census Tract 3307.02; Marion County; Indiana,38.43416370106762,-0.4399991724787855
18097330803,Census Tract 3308.03; Marion County; Indiana,44.31718061674009,-0.1006285950449788
18097330804,Census Tract 3308.04; Marion County; Indiana,40.88514225500527,-0.29861083057009696
18097330805,Census Tract 3308.05; Marion County; Indiana,67.53393665158372,1.238664494644202
18097330806,Census Tract 3308.06; Marion County; Indiana,53.67063492063492,0.4389393228471405
18097330900,Census Tract 3309; Marion County; Indiana,45.370370370370374,-0.03987377826301437
18097331000,Census Tract 3310; Marion County; Indiana,78.21428571428571,1.854776309476452
18097340101,Census Tract 3401.01; Marion County; Indiana,31.12947658402204,-0.8613809091657826
18097340102,Census Tract 3401.02; Marion County; Indiana,55.23186682520809,0.5290013064446353
