GEOID,year,delta_sum_value,zscore_sum_value,delta_n_indicators,zscore_n_indicators,baseline_sum,baseline_n
18011810605,2024,-0.13139403780906833,1.1139954238747878,2,2,1.207981802229563,2
18011810605,2025,-0.44451432370216876,1.0796451867772716,2,2,1.207981802229563,2
18011810605,2026,-0.4832298979632709,1.07044896167738,2,2,1.207981802229563,2
18011810605,2027,-0.5082745735971175,0.9888879592928544,2,2,1.207981802229563,2
18011810605,2028,-0.53815979576761,0.8757852605875521,2,2,1.207981802229563,2
18057110805,2024,-0.7383152819997306,1.5375073746847172,1,1,1.2956483618940313,2
18057110805,2025,-1.0224416709663235,1.5473911127769877,1,1,1.2956483618940313,2
18057110805,2026,-0.5760957134461725,1.5452374322772602,1,1,1.2956483618940313,2
18057110805,2027,-1.0909715669020454,1.5499301317200866,1,1,1.2956483618940313,2
18057110805,2028,-1.123172064338848,1.5512375818742516,1,1,1.2956483618940313,2
18057110807,2024,-0.7383152819997306,1.5375073746847172,1,1,1.2956483618940313,2
18057110807,2025,-1.0224416709663235,1.5473911127769877,1,1,1.2956483618940313,2
18057110807,2026,-0.5760957134461725,1.5452374322772602,1,1,1.2956483618940313,2
18057110807,2027,-1.0909715669020454,1.5499301317200866,1,1,1.2956483618940313,2
18057110807,2028,-1.123172064338848,1.5512375818742516,1,1,1.2956483618940313,2
18057110810,2024,-0.7383152819997306,1.5375073746847172,1,1,1.2956483618940313,2
18057110810,2025,-1.0224416709663235,1.5473911127769877,1,1,1.2956483618940313,2
18057110810,2026,-0.5760957134461725,1.5452374322772602,1,1,1.2956483618940313,2
18057110810,2027,-1.0909715669020454,1.5499301317200866,1,1,1.2956483618940313,2
18057110810,2028,-1.123172064338848,1.5512375818742516,1,1,1.2956483618940313,2
18057110813,2024,-0.7383152819997384,1.5375073746847172,1,1,1.2956483618940322,2
18057110813,2025,-1.0224416709663235,1.5473911127769877,1,1,1.2956483618940322,2
18057110813,2026,-0.5760957134461725,1.5452374322772602,1,1,1.2956483618940322,2
18057110813,2027,-1.0909715669020454,1.5499301317200866,1,1,1.2956483618940322,2
18057110813,2028,-1.123172064338848,1.5512375818742516,1,1,1.2956483618940322,2
18057110822,2024,-0.7383152819997306,1.5375073746847172,1,1,1.2956483618940313,2
18057110822,2025,-1.0224416709663235,1.5473911127769877,1,1,1.2956483618940313,2
18057110822,2026,-0.5760957134461725,1.5452374322772602,1,1,1.2956483618940313,2
18057110822,2027,-1.0909715669020454,1.5499301317200866,1,1,1.2956483618940313,2
18057110822,2028,-1.123172064338848,1.5512375818742516,1,1,1.2956483618940313,2
18057111006,2024,-0.6075062423018829,1.2601941187648762,1,1,1.2255959823782168,1
18057111006,2025,-0.7861757746872261,1.2847811954439736,1,1,1.2255959823782168,1
18057111006,2026,-0.3127377533659294,1.2843045232938997,1,1,1.2255959823782168,1
18057111006,2027,-0.8243021233719385,1.3092673373267227,1,1,1.2255959823782168,1
18057111006,2028,-0.8418296339518894,1.3356413946779655,1,1,1.2255959823782168,1
18057111101,2024,-0.6075062423018829,1.2601941187648762,1,1,1.2255959823782168,1
18057111101,2025,-0.7861757746872261,1.2847811954439736,1,1,1.2255959823782168,1
18057111101,2026,-0.3127377533659294,1.2843045232938997,1,1,1.2255959823782168,1
18057111101,2027,-0.8243021233719385,1.3092673373267227,1,1,1.2255959823782168,1
18057111101,2028,-0.8418296339518894,1.3356413946779655,1,1,1.2255959823782168,1
18057111103,2024,-3.923752369059256,-0.4685912702029066,2,2,1.1815452312766754,2
18057111103,2025,-0.8077394874926513,-0.4584462444620713,2,2,1.1815452312766754,2
18057111103,2026,-0.5074377865775523,-0.45692615417636073,2,2,1.1815452312766754,2
18057111103,2027,-0.8843911181565992,-0.42417449029746523,2,2,1.1815452312766754,2
18057111103,2028,-0.9131511987841744,-0.3768339399758175,2,2,1.1815452312766754,2
18057111104,2024,-0.6075062423018829,1.2601941187648762,1,1,1.2255959823782168,1
18057111104,2025,-0.7861757746872261,1.2847811954439736,1,1,1.2255959823782168,1
18057111104,2026,-0.3127377533659294,1.2843045232938997,1,1,1.2255959823782168,1
18057111104,2027,-0.8243021233719385,1.3092673373267227,1,1,1.2255959823782168,1
18057111104,2028,-0.8418296339518894,1.3356413946779655,1,1,1.2255959823782168,1
18059410801,2024,0.20153798202791903,-0.20316600133647245,1,1,0.855079950343095,2
18059410801,2025,-0.08075170012608196,-0.20401754296501273,1,1,0.855079950343095,2
18059410801,2026,-0.5923428064674942,-0.20670687898133727,1,1,0.855079950343095,2
18059410801,2027,-0.15599970829082585,-0.21656119995118908,1,1,0.855079950343095,2
18059410801,2028,-0.20240514703872425,-0.2351108618446856,1,1,0.855079950343095,2
18059410802,2024,-0.546206236159009,2.1553557765582942,2,2,2.515211899728579,2
18059410802,2025,-1.4014329162111867,2.002845280403875,2,2,2.515211899728579,2
18059410802,2026,-0.9213725918872935,1.9861724957417397,2,2,2.515211899728579,2
18059410802,2027,-1.5188272457802485,1.7886026489868891,2,2,2.515211899728579,2
18059410802,2028,-1.5600949172340057,1.5825058911211554,2,2,2.515211899728579,2
18059410901,2024,0.22989244174531595,-0.20957223208171155,1,1,0.8225455673687342,2
18059410901,2025,-0.06066887787239192,-0.20917402379103645,1,1,0.8225455673687342,2
18059410901,2026,-0.5918516708563427,-0.21186229471609208,1,1,0.8225455673687342,2
18059410901,2027,-0.13597050753517856,-0.22024763988230148,1,1,0.8225455673687342,2
18059410901,2028,-0.1826357352536899,-0.23705697875911144,1,1,0.8225455673687342,2
18059410902,2024,-0.13945571182621866,0.4700657646065306,2,2,0.8477008628339924,2
18059410902,2025,-0.950827310759686,0.3115631048256336,2,2,0.8477008628339924,2
18059410902,2026,2.844289063650203,0.3578911225697184,2,2,0.8477008628339924,2
18059410902,2027,-0.21190744168670944,0.28832111375307323,2,2,0.8477008628339924,2
18059410902,2028,-0.10975397994500448,0.2105081244048242,2,2,0.8477008628339924,2
18063210106,2024,-0.8836977960069708,4.331363564759748,2,2,4.4412420944443864,2
18063210106,2025,-1.9408364268441347,4.181967661776897,2,2,4.4412420944443864,2
18063210106,2026,2.83052505229946,4.231454189863166,2,2,4.4412420944443864,2
18063210106,2027,-1.5600272384570646,4.097722989630913,2,2,4.4412420944443864,2
18063210106,2028,-1.3149448502723642,3.9682730764955565,2,2,4.4412420944443864,2
18063210107,2024,-1.3145437310461052,2.6633182466429357,1,1,2.6660045631368976,1
18063210107,2025,-1.413059422835181,2.670356702423858,1,1,2.6660045631368976,1
18063210107,2026,-0.08426316845917137,2.6726374420803953,1,1,2.6660045631368976,1
18063210107,2027,-1.421687590812725,2.687635421700842,1,1,2.6660045631368976,1
18063210107,2028,-1.4156794700541773,2.710715748487313,1,1,2.6660045631368976,1
18063210108,2024,-0.08786489712448742,2.4204150408832144,2,2,2.511674611208849,2
18063210108,2025,-1.1292606634722664,2.2781646211359674,2,2,2.511674611208849,2
18063210108,2026,2.5222756022280177,2.3241205242725176,2,2,2.511674611208849,2
18063210108,2027,-0.7897848795284109,2.186080894420927,2,2,2.511674611208849,2
18063210108,2028,-0.5781123954612707,2.0413294049458433,2,2,2.511674611208849,2
