GEOID,NAME,year,call_volume
18097310104,NA,2024,743.8523998796909
18097310104,NA,2025,858.8061327645091
18097310104,NA,2026,871.9402549765636
18097310104,NA,2027,1020.4672741034384
18097310104,NA,2028,1200.1714551033679
18097310105,NA,2024,1015.667505460171
18097310105,NA,2025,1190.2613449298563
18097310105,NA,2026,1205.6087052643823
18097310105,NA,2027,1423.4677308708676
18097310105,NA,2028,1685.2228094573948
18097310106,NA,2024,776.2754509654156
18097310106,NA,2025,894.9538021015713
18097310106,NA,2026,907.8192402797539
18097310106,NA,2027,1059.6793432119828
18097310106,NA,2028,1242.5264684573633
18097310108,NA,2024,369.6209235621731
18097310108,NA,2025,403.49855981573023
18097310108,NA,2026,411.30157348696997
18097310108,NA,2027,460.38591960636546
18097310108,NA,2028,520.5275511295555
18097310110,NA,2024,372.67634276071755
18097310110,NA,2025,396.3453822358018
18097310110,NA,2026,404.7836972924603
18097310110,NA,2027,443.44816063836726
18097310110,NA,2028,491.90515568970767
18097310111,NA,2024,455.72855728106333
18097310111,NA,2025,484.672361140258
18097310111,NA,2026,494.9911680915399
18097310111,NA,2027,542.2721580554434
18097310111,NA,2028,601.5279689701368
18097310112,NA,2024,1557.5918287175557
18097310112,NA,2025,1875.978319854333
18097310112,NA,2026,1900.187488712813
18097310112,NA,2027,2293.8838133871586
18097310112,NA,2028,2771.4252561798953
18097310113,NA,2024,319.16712659911184
18097310113,NA,2025,384.3990581800162
18097310113,NA,2026,389.3581253188617
18097310113,NA,2027,470.0168207652198
18097310113,NA,2028,567.8505871221131
18097310201,NA,2024,618.0316757627243
18097310201,NA,2025,713.5412460824145
18097310201,NA,2026,724.4537757992466
18097310201,NA,2027,847.8578128029973
18097310201,NA,2028,997.165480017944
18097310203,NA,2024,1049.5527369113206
18097310203,NA,2025,1227.7514729573097
18097310203,NA,2026,1243.8607421400145
18097310203,NA,2027,1466.959145468122
18097310203,NA,2028,1735.1494469232705
18097310204,NA,2024,629.5715104493986
18097310204,NA,2025,726.6407567542022
18097310204,NA,2026,737.604050618747
18097310204,NA,2027,862.7528051941805
18097310204,NA,2028,1014.0090509890325
18097310305,NA,2024,693.8272413058444
18097310305,NA,2025,737.8930556159535
18097310305,NA,2026,753.6029507131833
18097310305,NA,2027,825.5862874223799
18097310305,NA,2028,915.8007461576241
18097310306,NA,2024,592.658831892801
18097310306,NA,2025,630.2992810157205
18097310306,NA,2026,643.7184987252957
18097310306,NA,2027,705.2057770099394
18097310306,NA,2028,782.2658691682581
18097310308,NA,2024,423.7258562303499
18097310308,NA,2025,455.3382579076402
18097310308,NA,2026,463.1027025910418
18097310308,NA,2027,509.2972183974868
18097310308,NA,2028,565.4575452664405
18097310309,NA,2024,446.55281713593587
18097310309,NA,2025,474.91385631100684
18097310309,NA,2026,485.02490370054653
18097310309,NA,2027,531.3539260002578
18097310309,NA,2028,589.4166665860778
18097310310,NA,2024,403.73269477961617
18097310310,NA,2025,429.3741674354801
18097310310,NA,2026,438.51566920635736
18097310310,NA,2027,480.4021764577897
18097310310,NA,2028,532.8972555340573
18097310311,NA,2024,699.8664141820608
18097310311,NA,2025,752.8889402212104
18097310311,NA,2026,765.5176098549126
18097310311,NA,2027,842.3297613256964
18097310311,NA,2028,935.5102495381685
18097310312,NA,2024,734.0593258301487
