GEOID,NAME,year,percent_white
18097310103,NA,2024,54.72103505248802
18097310103,NA,2025,53.38597738601362
18097310103,NA,2026,53.49251192428645
18097310103,NA,2027,52.28958812476885
18097310103,NA,2028,51.17375083224746
18097310104,NA,2024,54.989854890422386
18097310104,NA,2025,47.605650635603105
18097310104,NA,2026,48.281685722984484
18097310104,NA,2027,42.75502278930725
18097310104,NA,2028,38.76613575368747
18097310105,NA,2024,37.57400093520479
18097310105,NA,2025,36.08975956502836
18097310105,NA,2026,36.09340648554791
18097310105,NA,2027,34.61631783310817
18097310105,NA,2028,33.14274043887284
18097310106,NA,2024,37.586005138141694
18097310106,NA,2025,34.743712183739646
18097310106,NA,2026,35.86421485942535
18097310106,NA,2027,34.493778931355216
18097310106,NA,2028,34.002664987341035
18097310108,NA,2024,65.37663870180087
18097310108,NA,2025,64.66647430496074
18097310108,NA,2026,64.66649451378522
18097310108,NA,2027,63.95637100120961
18097310108,NA,2028,63.24626817484801
18097310110,NA,2024,40.796217918205556
18097310110,NA,2025,40.52522575083303
18097310110,NA,2026,40.53296295776792
18097310110,NA,2027,40.27584635042745
18097310110,NA,2028,40.025198491069
18097310111,NA,2024,35.995132128941094
18097310111,NA,2025,35.33633138098411
18097310111,NA,2026,35.309099797188416
18097310111,NA,2027,34.59341761135429
18097310111,NA,2028,33.847870819655704
18097310112,NA,2024,59.58771343467318
18097310112,NA,2025,58.40125513549938
18097310112,NA,2026,58.401547342311574
18097310112,NA,2027,57.215668076842995
18097310112,NA,2028,56.03007573731895
18097310113,NA,2024,73.26803261703343
18097310113,NA,2025,71.14643021114063
18097310113,NA,2026,72.26292182951292
18097310113,NA,2027,71.8841136264294
18097310113,NA,2028,72.34682260056302
18097310201,NA,2024,30.748099682251656
18097310201,NA,2025,29.94140336573889
18097310201,NA,2026,29.944764038486568
18097310201,NA,2027,29.144626640390925
18097310201,NA,2028,28.347695338344025
18097310203,NA,2024,28.820825233903108
18097310203,NA,2025,27.372794600289556
18097310203,NA,2026,27.342458406764184
18097310203,NA,2027,25.844647990529023
18097310203,NA,2028,24.323482854054873
18097310204,NA,2024,12.80307997657392
18097310204,NA,2025,12.289767349102359
18097310204,NA,2026,12.30295123322719
18097310204,NA,2027,11.813732019592933
18097310204,NA,2028,11.335814684992792
18097310305,NA,2024,7.191977320197536
18097310305,NA,2025,6.0427324527256
18097310305,NA,2026,6.063028290971854
18097310305,NA,2027,4.959572027790785
18097310305,NA,2028,3.882939249701932
18097310306,NA,2024,4.5061379375767805
18097310306,NA,2025,4.110741820491649
18097310306,NA,2026,4.075088282124878
18097310306,NA,2027,3.6190938074248016
18097310306,NA,2028,3.134938095964738
18097310308,NA,2024,23.730611000305636
18097310308,NA,2025,24.218340221395607
18097310308,NA,2026,24.223259260246625
18097310308,NA,2027,24.72182263417119
18097310308,NA,2028,25.226502821171323
18097310309,NA,2024,25.07711935903596
18097310309,NA,2025,26.685985033518236
18097310309,NA,2026,26.62583995238396
18097310309,NA,2027,28.125723242796322
18097310309,NA,2028,29.57464327341376
18097310310,NA,2024,26.252309078277072
18097310310,NA,2025,25.090453778129785
18097310310,NA,2026,25.442214516838618
18097310310,NA,2027,24.853137365964358
18097310310,NA,2028,24.53367263917707
18097310311,NA,2024,21.388209681593683
18097310311,NA,2025,20.500046771976727
18097310311,NA,2026,20.737441702147727
18097310311,NA,2027,20.23961782899812
18097310311,NA,2028,19.924780580946635
18097310312,NA,2024,13.538027206624662
18097310312,NA,2025,13.100692936017127
18097310312,NA,2026,13.088603651422261
18097310312,NA,2027,12.629532517058637
18097310312,NA,2028,12.1603206456982
18097320105,NA,2024,44.13040557850935
18097320105,NA,2025,43.66078344519097
18097320105,NA,2026,42.76471875886838
18097320105,NA,2027,40.93603218620897
18097320105,NA,2028,38.435047090787826
18097320106,NA,2024,39.9980530281963
18097320106,NA,2025,37.223294997939746
18097320106,NA,2026,37.2046732879684
18097320106,NA,2027,34.39004685549434
18097320106,NA,2028,31.553803703963837
18097320107,NA,2024,86.36950546614473
18097320107,NA,2025,85.99698286569091
18097320107,NA,2026,85.99651704402038
18097320107,NA,2027,85.62307570994365
18097320107,NA,2028,85.24918110613642
18097320108,NA,2024,42.58026355543129
18097320108,NA,2025,43.329324837442236
18097320108,NA,2026,43.30466506457574
18097320108,NA,2027,44.00137561648595
18097320108,NA,2028,44.67002261735416
18097320109,NA,2024,76.37328162362707
18097320109,NA,2025,76.04098142805913
18097320109,NA,2026,76.05898607728851
18097320109,NA,2027,75.76034299910056
18097320109,NA,2028,75.47765968501535
18097320202,NA,2024,77.86971244264993
18097320202,NA,2025,75.98263296297159
18097320202,NA,2026,75.97109924194717
18097320202,NA,2027,74.0632182701345
18097320202,NA,2028,72.14562435179938
18097320203,NA,2024,71.02673717467925
18097320203,NA,2025,71.38095825413956
18097320203,NA,2026,71.40557667380246
18097320203,NA,2027,71.80298885320713
18097320203,NA,2028,72.2204584127712
18097320204,NA,2024,47.62138929161969
18097320204,NA,2025,45.99432877866977
18097320204,NA,2026,45.913130485870646
18097320204,NA,2027,44.171168781251005
18097320204,NA,2028,42.367722652230334
18097320205,NA,2024,68.84604771372868
18097320205,NA,2025,72.45530675004436
18097320205,NA,2026,71.26463808523296
18097320205,NA,2027,73.21295670555956
18097320205,NA,2028,74.25513780574146
18097320206,NA,2024,38.460082832808055
18097320206,NA,2025,38.653551896420595
18097320206,NA,2026,38.5405785453492
18097320206,NA,2027,38.58117882477068
18097320206,NA,2028,38.53461250454062
18097320301,NA,2024,86.45029874990631
18097320301,NA,2025,86.33832071004436
18097320301,NA,2026,86.40272625911307
18097320301,NA,2027,86.45040166883496
18097320301,NA,2028,86.60809467914443
18097320304,NA,2024,74.93144086444184
18097320304,NA,2025,73.36923002402267
18097320304,NA,2026,73.3692300243966
18097320304,NA,2027,71.80701918470415
18097320304,NA,2028,70.2448083453657
18097320305,NA,2024,74.4236231066333
18097320305,NA,2025,68.37472277339664
18097320305,NA,2026,68.52715210155286
18097320305,NA,2027,62.682619552502786
18097320305,NA,2028,56.95627527835169
18097320306,NA,2024,76.22907503450591
18097320306,NA,2025,73.45699843199756
18097320306,NA,2026,74.38778603098636
18097320306,NA,2027,72.81564483418704
18097320306,NA,2028,71.98297057512
18097320400,NA,2024,59.9466087048562
18097320400,NA,2025,60.17707096641964
18097320400,NA,2026,59.90139243866727
18097320400,NA,2027,59.69789732116342
18097320400,NA,2028,59.28612785889802
18097320500,NA,2024,66.42872270893234
18097320500,NA,2025,66.69141918627372
18097320500,NA,2026,66.70439382445328
18097320500,NA,2027,66.99489694771016
18097320500,NA,2028,67.30049796832718
18097320600,NA,2024,67.70724117529086
18097320600,NA,2025,65.56456251998699
18097320600,NA,2026,65.58481451001289
18097320600,NA,2027,63.48538237711739
18097320600,NA,2028,61.409316174109904
18097320700,NA,2024,83.252286693609
18097320700,NA,2025,81.37156266663484
18097320700,NA,2026,81.55125912804895
18097320700,NA,2027,80.1342682116802
18097320700,NA,2028,79.06189874789676
18097320800,NA,2024,88.7726614897835
18097320800,NA,2025,88.70766036208894
18097320800,NA,2026,88.73757263656232
18097320800,NA,2027,88.74577707384572
18097320800,NA,2028,88.80326069181358
18097320901,NA,2024,51.62561425523962
18097320901,NA,2025,50.65945592878419
18097320901,NA,2026,50.702136891449506
18097320901,NA,2027,49.808835423051356
18097320901,NA,2028,48.94937370150833
18097320902,NA,2024,28.23245384794749
18097320902,NA,2025,27.600296890751707
18097320902,NA,2026,27.746181664242084
18097320902,NA,2027,27.325468730983626
18097320902,NA,2028,27.01454303371048
18097320903,NA,2024,21.972713007214978
18097320903,NA,2025,26.8577704701573
18097320903,NA,2026,24.87950385497129
18097320903,NA,2027,27.490732611141766
18097320903,NA,2028,28.37509851373167
18097321001,NA,2024,33.26313262400996
18097321001,NA,2025,32.23414986226885
18097321001,NA,2026,32.22216285239864
18097321001,NA,2027,31.172192947283406
18097321001,NA,2028,30.11247865046108
18097321002,NA,2024,64.38010975346086
18097321002,NA,2025,66.67860872060888
18097321002,NA,2026,66.6586202296361
18097321002,NA,2027,68.91910748477343
18097321002,NA,2028,71.16137829338514
18097321100,NA,2024,61.77695121749778
18097321100,NA,2025,63.13519960632773
18097321100,NA,2026,63.090314830471335
18097321100,NA,2027,64.34726481371007
18097321100,NA,2028,65.54483992992996
18097321200,NA,2024,86.94554140915461
18097321200,NA,2025,86.28767720553454
18097321200,NA,2026,86.28188718716909
18097321200,NA,2027,85.61384085930852
18097321200,NA,2028,84.94106492071411
18097321300,NA,2024,86.81434423734774
18097321300,NA,2025,86.06804559052424
18097321300,NA,2026,85.9901521015189
18097321300,NA,2027,85.05679582888006
18097321300,NA,2028,84.00172169476679
18097321400,NA,2024,69.37156901489926
18097321400,NA,2025,69.31132716860428
18097321400,NA,2026,69.35737720663785
18097321400,NA,2027,69.3818272374878
18097321400,NA,2028,69.44611088521117
18097321600,NA,2024,46.77481208154243
18097321600,NA,2025,46.508988440570036
18097321600,NA,2026,46.74973021764428
18097321600,NA,2027,46.85228618204983
18097321600,NA,2028,47.1356178363424
18097321700,NA,2024,80.72605825839024
18097321700,NA,2025,81.0311259986207
18097321700,NA,2026,81.02773980939423
18097321700,NA,2027,81.32648228789323
18097321700,NA,2028,81.62222665602806
18097321800,NA,2024,92.45840734973963
18097321800,NA,2025,92.41088311444382
18097321800,NA,2026,92.4028660041335
18097321800,NA,2027,92.33563712968304
18097321800,NA,2028,92.25504032388739
18097321900,NA,2024,81.08531063398813
18097321900,NA,2025,81.20149985153498
18097321900,NA,2026,81.21628213070898
18097321900,NA,2027,81.35910801338623
18097321900,NA,2028,81.51436820332925
18097322000,NA,2024,44.494193902657926
18097322000,NA,2025,45.504668143471015
18097322000,NA,2026,45.3642342792453
18097322000,NA,2027,46.154071907745355
18097322000,NA,2028,46.837874077712634
18097322100,NA,2024,51.60650924733244
18097322100,NA,2025,52.464809851023006
18097322100,NA,2026,52.452924936015904
18097322100,NA,2027,53.28545000378523
18097322100,NA,2028,54.103745966420426
18097322200,NA,2024,70.4620100566836
18097322200,NA,2025,71.42807579839986
18097322200,NA,2026,71.45350629091091
18097322200,NA,2027,72.47302544401222
18097322200,NA,2028,73.5208317922081
18097322300,NA,2024,78.72112351103726
18097322300,NA,2025,78.56707659128202
18097322300,NA,2026,78.56710290010348
18097322300,NA,2027,78.4131089276572
18097322300,NA,2028,78.25914159782936
18097322400,NA,2024,59.88585051604833
18097322400,NA,2025,61.103722331639275
18097322400,NA,2026,61.19016889846981
18097322400,NA,2027,62.62385950410893
18097322400,NA,2028,64.20823737234578
18097322500,NA,2024,32.679470404693234
18097322500,NA,2025,33.31432290468468
18097322500,NA,2026,33.2956749555025
18097322500,NA,2027,33.894880821586675
18097322500,NA,2028,34.4769421384744
18097322600,NA,2024,10.671706331053525
18097322600,NA,2025,11.109755770577014
18097322600,NA,2026,11.109738256419448
18097322600,NA,2027,11.547755657524533
18097322600,NA,2028,11.98575802395414
18097322601,NA,2024,6.130715847360239
18097322601,NA,2025,7.732744863891055
18097322601,NA,2026,7.310720824775746
18097322601,NA,2027,8.421854433136431
18097322601,NA,2028,9.168596046100022
18097322602,NA,2024,30.52818182218853
18097322602,NA,2025,32.36265269938515
18097322602,NA,2026,32.143170064446515
18097322602,NA,2027,33.637918432850874
18097322602,NA,2028,34.96755264552264
18097322700,NA,2024,33.67827673308582
18097322700,NA,2025,35.44281506926793
18097322700,NA,2026,35.37009777197563
18097322700,NA,2027,36.9451464014827
18097322700,NA,2028,38.37673223330095
18097330103,NA,2024,63.20987176533744
18097330103,NA,2025,61.61056399511887
18097330103,NA,2026,61.5888911765939
18097330103,NA,2027,59.94917299467096
18097330103,NA,2028,58.29031969177043
18097330105,NA,2024,63.186998481932335
18097330105,NA,2025,61.36996406681231
18097330105,NA,2026,61.56564887241158
18097330105,NA,2027,60.2132153408722
18097330105,NA,2028,59.157103281607704
18097330106,NA,2024,33.13062302251795
18097330106,NA,2025,28.98241115170721
18097330106,NA,2026,29.385056411808403
18097330106,NA,2027,25.86475974479262
18097330106,NA,2028,22.647871288546515
18097330107,NA,2024,83.55468790238356
18097330107,NA,2025,83.28878294183178
18097330107,NA,2026,83.267826292386
18097330107,NA,2027,82.96416357020934
18097330107,NA,2028,82.6428757257932
18097330108,NA,2024,92.28377782539191
18097330108,NA,2025,91.48908448572396
18097330108,NA,2026,92.19367978304403
18097330108,NA,2027,92.34215816463556
18097330108,NA,2028,93.03743755124587
18097330109,NA,2024,68.52425925248323
18097330109,NA,2025,64.14688516902555
18097330109,NA,2026,64.45876900370563
18097330109,NA,2027,60.9262409613707
18097330109,NA,2028,58.08338618590047
18097330202,NA,2024,20.26770944516208
18097330202,NA,2025,19.743973010827386
18097330202,NA,2026,19.744880231736715
18097330202,NA,2027,19.22329553689244
18097330202,NA,2028,18.703080765277893
18097330203,NA,2024,89.55906607548008
18097330203,NA,2025,89.86401271839549
18097330203,NA,2026,89.88230810751264
18097330203,NA,2027,90.21900143882952
18097330203,NA,2028,90.57042864430018
18097330204,NA,2024,55.9605332991474
18097330204,NA,2025,55.016491051734846
18097330204,NA,2026,55.022561064955816
18097330204,NA,2027,54.090257640477425
18097330204,NA,2028,53.163649543653584
18097330206,NA,2024,51.9976137361904
18097330206,NA,2025,49.330632825969474
18097330206,NA,2026,49.29066497602013
18097330206,NA,2027,46.55329144044345
18097330206,NA,2028,43.78321454124892
18097330208,NA,2024,67.72580791279972
18097330208,NA,2025,67.61080076969313
18097330208,NA,2026,66.91311789435042
18097330208,NA,2027,65.76340515799762
18097330208,NA,2028,64.09023005650162
18097330209,NA,2024,42.87191677150696
18097330209,NA,2025,39.98656580563397
18097330209,NA,2026,39.98423148838525
18097330209,NA,2027,37.09508951827883
18097330209,NA,2028,34.20416089966225
18097330211,NA,2024,16.55857021340584
18097330211,NA,2025,14.129533763311677
18097330211,NA,2026,14.194656412599306
18097330211,NA,2027,11.856794261665224
18097330211,NA,2028,9.568424806261278
18097330212,NA,2024,30.237848846797597
18097330212,NA,2025,26.839937462774962
18097330212,NA,2026,26.57295228068479
18097330212,NA,2027,22.864915680439527
18097330212,NA,2028,18.92606327367648
18097330213,NA,2024,82.22484120416944
18097330213,NA,2025,84.13370963984367
18097330213,NA,2026,84.17439733038638
18097330213,NA,2027,86.15743020522264
18097330213,NA,2028,88.17521779955166
18097330401,NA,2024,70.71877899704735
18097330401,NA,2025,69.92737425611588
18097330401,NA,2026,70.13362526322719
18097330401,NA,2027,69.66199813021854
18097330401,NA,2028,69.34558377276579
18097330500,NA,2024,45.02426672808079
18097330500,NA,2025,47.25175667551708
18097330500,NA,2026,47.25165460476632
18097330500,NA,2027,49.47893833498318
18097330500,NA,2028,51.70611787651941
18097330600,NA,2024,36.7553226850152
18097330600,NA,2025,33.779236605374514
18097330600,NA,2026,34.24656556235263
18097330600,NA,2027,31.9475326361915
18097330600,NA,2028,30.00022283818234
18097330700,NA,2024,46.13219310829518
18097330700,NA,2025,45.22654695865623
18097330700,NA,2026,45.226546960405095
18097330700,NA,2027,44.3209008140794
18097330700,NA,2028,43.41525466933755
18097330701,NA,2024,18.340571393477163
18097330701,NA,2025,12.573376044211834
18097330701,NA,2026,12.573371504212908
18097330701,NA,2027,6.806167081208109
18097330701,NA,2028,1.0389581244541357
18097330702,NA,2024,44.189886374128534
18097330702,NA,2025,44.17418840349647
18097330702,NA,2026,44.154804529579735
18097330702,NA,2027,44.1029238212574
18097330702,NA,2028,44.03389951531371
18097330804,NA,2024,36.47961031314421
18097330804,NA,2025,39.29518579239739
18097330804,NA,2026,39.32294540037756
18097330804,NA,2027,42.20109226731683
18097330804,NA,2028,45.115842478384856
18097330805,NA,2024,16.15721723608642
18097330805,NA,2025,13.482055574004017
18097330805,NA,2026,13.666228612728027
18097330805,NA,2027,11.501317063480421
18097330805,NA,2028,9.77181865294113
18097330806,NA,2024,17.808340758284107
18097330806,NA,2025,18.182044121643518
18097330806,NA,2026,18.138956020515696
18097330806,NA,2027,18.41409804664987
18097330806,NA,2028,18.63020688476951
18097330900,NA,2024,11.792002583573321
18097330900,NA,2025,10.834955231577917
18097330900,NA,2026,11.290087773320513
18097330900,NA,2027,10.96350869228332
18097330900,NA,2028,10.984272940710492
18097331000,NA,2024,4.0450769985232675
18097331000,NA,2025,3.9813552625971202
18097331000,NA,2026,3.9746570734650466
18097331000,NA,2027,3.8988279222841196
18097331000,NA,2028,3.8173415039642116
18097340101,NA,2024,66.04283672927532
18097340101,NA,2025,63.775402766048735
18097340101,NA,2026,63.74968146091544
18097340101,NA,2027,61.4436619034127
18097340101,NA,2028,59.11835136654583
18097340102,NA,2024,37.42030803107486
18097340102,NA,2025,37.070689229235974
18097340102,NA,2026,37.08001258836631
18097340102,NA,2027,36.74956762635281
18097340102,NA,2028,36.42900294729127
18097340109,NA,2024,26.293603974418644
18097340109,NA,2025,25.421331262669675
