GEOID,NAME,year,zori_forecast
18011810605,NA,2024,1644.4685539534323
18011810605,NA,2025,1763.1611410460876
18011810605,NA,2026,1890.4302998495286
18011810605,NA,2027,2026.8864162548366
18011810605,NA,2028,2173.1922996601006
18057111103,NA,2024,1757.42838366446
18057111103,NA,2025,2117.284467499186
18057111103,NA,2026,2544.6382936312048
18057111103,NA,2027,3057.6652967378864
18057111103,NA,2028,3674.06896857683
18059410801,NA,2024,1570.1159382364758
18059410801,NA,2025,1570.319285161037
18059410801,NA,2026,1570.330218425365
18059410801,NA,2027,1570.3308062314097
18059410801,NA,2028,1570.3308378335678
18059410802,NA,2024,1814.329901781613
18059410802,NA,2025,1902.2732839304495
18059410802,NA,2026,1993.0045141460498
18059410802,NA,2027,2087.0465286944045
18059410802,NA,2028,2184.825292974867
18059410901,NA,2024,2355.1812160881473
18059410901,NA,2025,3321.6162847022906
18059410901,NA,2026,4745.244669698483
18059410901,NA,2027,6762.728499307351
18059410901,NA,2028,9642.311540100367
18059410902,NA,2024,1644.4988024683669
18059410902,NA,2025,1730.8711816684552
18059410902,NA,2026,1823.5022831418114
18059410902,NA,2027,1921.93427335516
18059410902,NA,2028,2026.092773112435
18063210106,NA,2024,1959.108558761297
18063210106,NA,2025,2078.8181966597804
18063210106,NA,2026,2251.9388763748557
18063210106,NA,2027,2411.116371843525
18063210106,NA,2028,2598.6701888626208
18063210108,NA,2024,1959.1085589507054
18063210108,NA,2025,2078.818196945787
18063210108,NA,2026,2251.938876849233
18063210108,NA,2027,2411.116372482898
18063210108,NA,2028,2598.670189721193
18063210109,NA,2024,1959.1085589507054
18063210109,NA,2025,2078.818196945787
18063210109,NA,2026,2251.938876849233
18063210109,NA,2027,2411.116372482898
18063210109,NA,2028,2598.670189721193
18063210611,NA,2024,1959.1085589507054
18063210611,NA,2025,2078.818196945787
18063210611,NA,2026,2251.938876849233
18063210611,NA,2027,2411.116372482898
18063210611,NA,2028,2598.670189721193
18063210616,NA,2024,1959.1085589507054
18063210616,NA,2025,2078.818196945787
18063210616,NA,2026,2251.938876849233
18063210616,NA,2027,2411.116372482898
18063210616,NA,2028,2598.670189721193
18063210617,NA,2024,1959.1085589507054
18063210617,NA,2025,2078.818196945787
18063210617,NA,2026,2251.938876849233
18063210617,NA,2027,2411.116372482898
18063210617,NA,2028,2598.670189721193
18097310104,NA,2024,1644.4685539534323
18097310104,NA,2025,1763.1611410460876
18097310104,NA,2026,1890.4302998495286
18097310104,NA,2027,2026.8864162548366
18097310104,NA,2028,2173.1922996601006
18097310105,NA,2024,1644.4685539534323
18097310105,NA,2025,1763.1611410460876
18097310105,NA,2026,1890.4302998495286
18097310105,NA,2027,2026.8864162548366
18097310105,NA,2028,2173.1922996601006
18097310106,NA,2024,1741.268792148544
18097310106,NA,2025,1986.4780505600713
18097310106,NA,2026,2243.7466576814845
18097310106,NA,2027,2516.354758902272
18097310106,NA,2028,2807.765879089211
18097310108,NA,2024,2105.9576489994206
18097310108,NA,2025,2587.6405196980018
18097310108,NA,2026,3208.8053191167814
18097310108,NA,2027,3971.169387048634
18097310108,NA,2028,4916.781875690301
18097310110,NA,2024,1580.4806286917437
18097310110,NA,2025,1715.7224572549262
18097310110,NA,2026,1854.825336237524
18097310110,NA,2027,1998.1854838237844
18097310110,NA,2028,2146.2531667828894
18097310111,NA,2024,1580.4806286917437
18097310111,NA,2025,1715.7224572549262
18097310111,NA,2026,1854.825336237524
18097310111,NA,2027,1998.1854838237844
18097310111,NA,2028,2146.2531667828894
18097310113,NA,2024,1959.1085588445544
18097310113,NA,2025,2078.818196807201
18097310113,NA,2026,2251.938876603812
18097310113,NA,2027,2411.1163721672983
18097310113,NA,2028,2598.670189288926
18097310201,NA,2024,1644.4685539534323
18097310201,NA,2025,1763.1611410460876
18097310201,NA,2026,1890.4302998495286
18097310201,NA,2027,2026.8864162548366
18097310201,NA,2028,2173.1922996601006
18097310203,NA,2024,1644.4685539534323
18097310203,NA,2025,1763.1611410460876
18097310203,NA,2026,1890.4302998495286
18097310203,NA,2027,2026.8864162548366
18097310203,NA,2028,2173.1922996601006
18097310204,NA,2024,1651.51299184871
18097310204,NA,2025,1779.207149190289
18097310204,NA,2026,1913.9557266891368
18097310204,NA,2027,2057.639569306147
18097310204,NA,2028,2211.537866427633
18097310305,NA,2024,1580.4806286917437
18097310305,NA,2025,1715.7224572549262
18097310305,NA,2026,1854.825336237524
18097310305,NA,2027,1998.1854838237844
18097310305,NA,2028,2146.2531667828894
18097310306,NA,2024,1580.4806286917437
18097310306,NA,2025,1715.7224572549262
18097310306,NA,2026,1854.825336237524
18097310306,NA,2027,1998.1854838237844
18097310306,NA,2028,2146.2531667828894
18097310308,NA,2024,435.3023740847439
18097310308,NA,2025,472.5523918214014
18097310308,NA,2026,510.86644162879725
18097310308,NA,2027,550.3536454071582
18097310308,NA,2028,591.1380113638962
18097310309,NA,2024,1580.4806286917437
18097310309,NA,2025,1715.7224572549262
18097310309,NA,2026,1854.825336237524
18097310309,NA,2027,1998.1854838237844
18097310309,NA,2028,2146.2531667828894
18097310310,NA,2024,1580.4806286917437
18097310310,NA,2025,1715.7224572549262
18097310310,NA,2026,1854.825336237524
18097310310,NA,2027,1998.1854838237844
18097310310,NA,2028,2146.2531667828894
18097310311,NA,2024,191.47510585661928
18097310311,NA,2025,207.86048295100989
18097310311,NA,2026,224.71406270321626
18097310311,NA,2027,242.08384254699607
18097310311,NA,2028,260.02436791575593
18097310312,NA,2024,1580.4806286917437
18097310312,NA,2025,1715.7224572549262
18097310312,NA,2026,1854.825336237524
18097310312,NA,2027,1998.1854838237844
18097310312,NA,2028,2146.2531667828894
18097320202,NA,2024,1423.4387026519696
18097320202,NA,2025,1499.6753557219795
18097320202,NA,2026,1578.8909465549807
18097320202,NA,2027,1661.6804737038924
18097320202,NA,2028,1748.4737119094227
18097320301,NA,2024,1423.4387026519696
18097320301,NA,2025,1499.6753557219795
18097320301,NA,2026,1578.8909465549807
18097320301,NA,2027,1661.6804737038924
18097320301,NA,2028,1748.4737119094227
18097320305,NA,2024,1423.4387026519696
18097320305,NA,2025,1499.6753557219795
18097320305,NA,2026,1578.8909465549807
18097320305,NA,2027,1661.6804737038924
18097320305,NA,2028,1748.4737119094227
18097320306,NA,2024,1423.4387026519696
18097320306,NA,2025,1499.6753557219795
18097320306,NA,2026,1578.8909465549807
18097320306,NA,2027,1661.6804737038924
18097320306,NA,2028,1748.4737119094227
18097320400,NA,2024,1423.4387026519696
18097320400,NA,2025,1499.6753557219795
18097320400,NA,2026,1578.8909465549807
18097320400,NA,2027,1661.6804737038924
18097320400,NA,2028,1748.4737119094227
18097320500,NA,2024,1423.4387026519696
18097320500,NA,2025,1499.6753557219795
18097320500,NA,2026,1578.8909465549807
18097320500,NA,2027,1661.6804737038924
18097320500,NA,2028,1748.4737119094227
