GEOID,NAME,year,percent_bachelors_plus
18097310103,NA,2024,58.38603665588704
18097310103,NA,2025,59.04081933084794
18097310103,NA,2026,58.398109228449975
18097310103,NA,2027,58.369476409705804
18097310103,NA,2028,57.736260845271225
18097310104,NA,2024,57.61027224604093
18097310104,NA,2025,58.67645205034061
18097310104,NA,2026,58.66478375667332
18097310104,NA,2027,59.710222981304895
18097310104,NA,2028,60.74601234998442
18097310105,NA,2024,51.54541922748925
18097310105,NA,2025,55.84768901779452
18097310105,NA,2026,55.55996615237019
18097310105,NA,2027,59.075260505790425
18097310105,NA,2028,61.93578869493956
18097310106,NA,2024,47.65379785354519
18097310106,NA,2025,47.428993212084904
18097310106,NA,2026,48.708785474356176
18097310106,NA,2027,50.02865261476517
18097310106,NA,2028,52.418254801412495
18097310108,NA,2024,74.29017316260122
18097310108,NA,2025,75.57909931371046
18097310108,NA,2026,75.5927291533782
18097310108,NA,2027,76.90615324198905
18097310108,NA,2028,78.23100502547548
18097310110,NA,2024,51.12830932948798
18097310110,NA,2025,51.83533646798177
18097310110,NA,2026,51.83694986964647
18097310110,NA,2027,52.54713070315618
18097310110,NA,2028,53.258855142785194
18097310111,NA,2024,35.93056961206799
18097310111,NA,2025,35.32967409339575
18097310111,NA,2026,35.31871330739799
18097310111,NA,2027,34.69364056452255
18097310111,NA,2028,34.0548871861767
18097310112,NA,2024,68.33837901859562
18097310112,NA,2025,69.50028152875407
18097310112,NA,2026,69.50012875014977
18097310112,NA,2027,70.66172767360341
18097310112,NA,2028,71.82317576354143
18097310113,NA,2024,72.38759955797511
18097310113,NA,2025,75.51254528737668
18097310113,NA,2026,75.25792769494005
18097310113,NA,2027,78.06604480854283
18097310113,NA,2028,80.66655525872285
18097310201,NA,2024,37.20370385717027
18097310201,NA,2025,36.91223790598042
18097310201,NA,2026,36.64126022680107
18097310201,NA,2027,36.02878016062464
18097310201,NA,2028,35.1861195479871
18097310203,NA,2024,33.24759902163757
18097310203,NA,2025,32.715418568387776
18097310203,NA,2026,32.71540989654771
18097310203,NA,2027,32.18321212643073
18097310203,NA,2028,31.65100571120372
18097310204,NA,2024,34.83888089454226
18097310204,NA,2025,35.38878097110825
18097310204,NA,2026,35.586528269161754
18097310204,NA,2027,36.37933220165538
18097310204,NA,2028,37.33503859407936
18097310305,NA,2024,23.059241122308247
18097310305,NA,2025,22.35519949456034
18097310305,NA,2026,22.74607439916527
18097310305,NA,2027,22.583460720575996
18097310305,NA,2028,22.719157324823232
