GEOID,NAME,year,call_volume
18011810605,NA,2015,30.396722047597663
18011810605,NA,2016,67.16322406825326
18011810605,NA,2017,73.73102828917827
18011810605,NA,2018,107.92321508756174
18011810605,NA,2019,110.16748989672205
18011810605,NA,2020,81.98203861697351
18011810605,NA,2021,90.69510552312528
18011810605,NA,2022,139.77211495285135
18011810605,NA,2023,116.5042658284688
18057110805,NA,2015,12.475864690231852
18057110805,NA,2016,26.08893956670468
18057110805,NA,2017,26.12238692512353
18057110805,NA,2018,39.73546180159636
18057110805,NA,2019,37.51121246674269
18057110805,NA,2020,23.546940326871916
18057110805,NA,2021,23.546940326871916
18057110805,NA,2022,36.9426073736222
18057110805,NA,2023,30.68795134929685
18057110807,NA,2015,0.4961991638160395
18057110807,NA,2016,1.0376282782212085
18057110807,NA,2017,1.0389585708855948
18057110807,NA,2018,1.580387685290764
18057110807,NA,2019,1.491923223109084
18057110807,NA,2020,0.93652603572786
18057110807,NA,2021,0.93652603572786
18057110807,NA,2022,1.4693082478145192
18057110807,NA,2023,1.2205435195743062
18057110810,NA,2015,0.07088559483086279
18057110810,NA,2016,0.14823261117445838
18057110810,NA,2017,0.1484226529836564
18057110810,NA,2018,0.225769669327252
18057110810,NA,2019,0.2131318890155834
18057110810,NA,2020,0.13378943367540858
18057110810,NA,2021,0.13378943367540858
18057110810,NA,2022,0.20990117825921703
18057110810,NA,2023,0.1743633599391866
18057110813,NA,2015,21.194792854427973
18057110813,NA,2016,44.32155074116306
18057110813,NA,2017,44.37837324211327
18057110813,NA,2018,67.50513112884835
18057110813,NA,2019,63.726434815659445
18057110813,NA,2020,40.00304066894717
18057110813,NA,2021,40.00304066894717
18057110813,NA,2022,62.76045229950589
18057110813,NA,2023,52.1346446218168
18057110822,NA,2015,0.8506271379703535
18057110822,NA,2016,1.7787913340935009
18057110822,NA,2017,1.7810718358038768
18057110822,NA,2018,2.709236031927024
18057110822,NA,2019,2.5575826681870013
18057110822,NA,2020,1.6054732041049031
18057110822,NA,2021,1.6054732041049031
18057110822,NA,2022,2.5188141391106043
18057110822,NA,2023,2.0923603192702394
18057111006,NA,2016,1.0995398401550012
18057111006,NA,2017,0.5497699200775006
18057111006,NA,2018,1.924194720271252
18057111006,NA,2019,0.8246548801162509
18057111006,NA,2021,1.0995398401550012
18057111006,NA,2022,1.924194720271252
18057111006,NA,2023,0.5497699200775006
18057111101,NA,2016,0.31678372487285056
18057111101,NA,2017,0.15839186243642528
18057111101,NA,2018,0.5543715185274884
18057111101,NA,2019,0.23758779365463792
18057111101,NA,2021,0.31678372487285056
18057111101,NA,2022,0.5543715185274884
18057111101,NA,2023,0.15839186243642528
18057111103,NA,2015,1.715399827497172
18057111103,NA,2016,3.535705693349984
18057111103,NA,2017,3.870523590804503
18057111103,NA,2018,5.730784855322427
18057111103,NA,2019,5.834992987580779
18057111103,NA,2020,4.279481159355909
18057111103,NA,2021,4.86948107772312
18057111103,NA,2022,6.9858821788273895
18057111103,NA,2023,5.871281012899635
18057111104,NA,2016,2.5071445870670863
18057111104,NA,2017,1.2535722935335432
18057111104,NA,2018,4.387503027367401
18057111104,NA,2019,1.8803584403003144
18057111104,NA,2021,2.5071445870670863
18057111104,NA,2022,4.387503027367401
18057111104,NA,2023,1.2535722935335432
18059410801,NA,2015,33.372548277102794
18059410801,NA,2016,73.03666877338976
18059410801,NA,2017,63.88387347845184
18059410801,NA,2018,99.27156844098396
18059410801,NA,2019,92.60995158343192
18059410801,NA,2020,67.50895073725228
18059410801,NA,2021,78.69775860789638
18059410801,NA,2022,100.24376749296307
18059410801,NA,2023,95.51765900125166
18059410802,NA,2015,0.6580757257655832
18059410802,NA,2016,1.3370013755158183
18059410802,NA,2017,1.4868602041555057
18059410802,NA,2018,1.978136538043872
18059410802,NA,2019,2.1977123000072396
18059410802,NA,2020,1.8217621081589808
18059410802,NA,2021,2.331933685658438
18059410802,NA,2022,2.981539129805256
18059410802,NA,2023,2.529356403388113
18059410901,NA,2015,17.94927137825753
18059410901,NA,2016,39.550115519896366
18059410901,NA,2017,34.84295896497146
18059410901,NA,2018,53.56347098858289
18059410901,NA,2019,49.83835274388547
18059410901,NA,2020,36.503781920147645
18059410901,NA,2021,42.61788582750803
18059410901,NA,2022,53.86789059212844
18059410901,NA,2023,51.165188579137904
18059410902,NA,2015,26.708229426433913
18059410902,NA,2016,58.47007481296758
18059410902,NA,2017,51.086034912718205
18059410902,NA,2018,79.44389027431421
18059410902,NA,2019,74.0498753117207
18059410902,NA,2020,53.94014962593516
18059410902,NA,2021,62.8428927680798
18059410902,NA,2022,80.04613466334165
18059410902,NA,2023,76.32793017456359
18063210106,NA,2015,13.028589985843915
18063210106,NA,2016,23.32298980871397
18063210106,NA,2017,32.888299110519746
18063210106,NA,2018,53.250803461947584
18063210106,NA,2019,48.71794286801504
18063210106,NA,2020,41.88131830478895
18063210106,NA,2021,38.517379192366576
18063210106,NA,2022,70.85109361326151
18063210106,NA,2023,58.962756408016816
18063210107,NA,2015,8.341955509570615
18063210107,NA,2016,14.91852043455768
18063210107,NA,2017,21.145887221934817
18063210107,NA,2018,34.260217278841175
18063210107,NA,2019,31.311433005690635
18063210107,NA,2020,26.92705638903259
18063210107,NA,2021,24.676668391101913
18063210107,NA,2022,45.62855664769788
18063210107,NA,2023,37.90739782721158
18063210108,NA,2015,79.3080553295362
18063210108,NA,2016,149.5174125305126
18063210108,NA,2017,155.08527257933278
18063210108,NA,2018,239.82538649308376
18063210108,NA,2019,236.02294548413343
18063210108,NA,2020,197.99853539462976
