GEOID,NAME,year,estimate,income_zscore
18097310103,NA,2024,180631.3105919137,3.3210071056432815
18097310103,NA,2025,194567.1820598829,3.364374632255813
18097310103,NA,2026,209634.0531868873,3.288216633382084
18097310103,NA,2027,225896.9803563379,3.260279843320405
18097310103,NA,2028,243436.93392803377,3.1399847477271323
18097310104,NA,2024,72943.26844504624,0.05346121591948916
18097310104,NA,2025,75922.765852222,0.014954517783381454
18097310104,NA,2026,79023.10551346494,-0.03577464558859421
18097310104,NA,2027,82250.01235509907,-0.07511855067718518
18097310104,NA,2028,85608.68831634402,-0.11908526328241746
18097310105,NA,2024,61609.92307109901,-0.29042307573618065
18097310105,NA,2025,63103.88582170069,-0.3469319998601237
18097310105,NA,2026,64566.25838265953,-0.4036950583886301
18097310105,NA,2027,66045.47383695377,-0.4513784362908363
18097310105,NA,2028,67554.29249745322,-0.4918990125083361
18097310106,NA,2024,64992.226445471904,-0.18779486123434838
18097310106,NA,2025,69454.16409645896,-0.16765892097586652
18097310106,NA,2026,74137.23130442682,-0.16011799926824294
18097310106,NA,2027,79120.24207017527,-0.14778998208412017
18097310106,NA,2028,84435.2388911447,-0.14331637487009027
18097310108,NA,2024,141570.97579573726,2.1358111092260117
18097310108,NA,2025,148209.36638302702,2.0556590158436805
18097310108,NA,2026,157141.94074939622,1.952315416332162
18097310108,NA,2027,165996.31605203907,1.8694215307507718
18097310108,NA,2028,175539.5035915257,1.7379386299571074
18097310110,NA,2024,63001.63766180738,-0.2481946982870319
18097310110,NA,2025,64833.42441422859,-0.29810583900287785
18097310110,NA,2026,66718.59116624978,-0.348919133938673
18097310110,NA,2027,68658.60777828885,-0.3907029979400982
18097310110,NA,2028,70655.04542968259,-0.4278701002321283
18097310111,NA,2024,53471.59844402005,-0.5373618133555582
18097310111,NA,2025,54217.7738580926,-0.5977935498741498
18097310111,NA,2026,55011.60176563617,-0.6468568747162808
18097310111,NA,2027,55823.137432587435,-0.6887350954702526
18097310111,NA,2028,56647.638994062385,-0.7171156536463694
18097310112,NA,2024,158885.21423671243,2.6611718412406926
18097310112,NA,2025,158425.9720105781,2.3440813915807546
18097310112,NA,2026,169989.42632444948,2.2792782840617294
18097310112,NA,2027,169648.75324105524,1.9542289812938043
18097310112,NA,2028,181871.65007394497,1.868694114352125
18097310201,NA,2024,71898.32880820932,0.021754926648305944
18097310201,NA,2025,73940.10834558212,-0.041017378283148956
18097310201,NA,2026,75917.83263962164,-0.11480247698667917
18097310201,NA,2027,77981.56206676856,-0.1742294642916887
18097310201,NA,2028,80092.40013757529,-0.23299370410576342
18097310203,NA,2024,62579.390295778045,-0.261006823178616
