GEOID,NAME,year,housing_pressure_forecast,housing_pressure_zscore
18097310103,NA,2024,4.192234353411609,-1.248825435162841
18097310103,NA,2025,3.996915356275369,-1.2172359249882254
18097310103,NA,2026,4.049495752297845,-1.215034212951703
18097310103,NA,2027,3.918412500597036,-1.158787354260155
18097310103,NA,2028,3.8338887692527024,-1.0930852418933923
18097310104,NA,2024,24.28248623015668,0.10622796863102531
18097310104,NA,2025,28.62096401046922,0.35886763108331543
18097310104,NA,2026,28.20742765501014,0.32918974064778517
18097310104,NA,2027,31.54068275015168,0.4733094467728316
18097310104,NA,2028,34.22611708431914,0.5502364102380993
18097310105,NA,2024,33.56544236931657,0.7323476106748438
18097310105,NA,2025,36.68156600595955,0.8747999884134303
18097310105,NA,2026,36.77805015247488,0.8770412956212384
18097310105,NA,2027,40.19253563218121,0.9845151255311186
18097310105,NA,2028,43.92407683421112,1.0746095188264142
18097310106,NA,2024,30.967637801210874,0.5571301000134891
18097310106,NA,2025,30.409029937372697,0.47331579131317064
18097310106,NA,2026,30.350941378539183,0.4662074808282328
18097310106,NA,2027,29.69858054451321,0.3644665062818402
18097310106,NA,2028,29.01106081789249,0.2682559384260178
18097310108,NA,2024,6.529860170160466,-1.091156539859018
18097310108,NA,2025,6.702088511151519,-1.044086777621535
18097310108,NA,2026,6.703383070104246,-1.0453923585572704
18097310108,NA,2027,6.87973154526762,-0.9838140701680249
18097310108,NA,2028,7.0604874903483585,-0.918621576835713
18097310110,NA,2024,17.64636380891112,-0.34136722978011996
18097310110,NA,2025,17.456281649022678,-0.3557465990704297
18097310110,NA,2026,17.465474254082547,-0.35745768500786396
18097310110,NA,2027,17.293604223913086,-0.36849722142145536
18097310110,NA,2028,17.13131984335682,-0.3740870764654013
18097310111,NA,2024,20.47284818123839,-0.15072565430412527
18097310111,NA,2025,19.907958843010512,-0.19882288607550727
18097310111,NA,2026,19.928637011845957,-0.20000733091834938
18097310111,NA,2027,19.411821404836683,-0.24333967811871926
18097310111,NA,2028,18.926801842576467,-0.2770045455386612
18097310112,NA,2024,1.370540958764872,-1.439143867322697
18097310112,NA,2025,1.1532661959368034,-1.3992484614630563
