GEOID,year,vacancy_rate_forecast,NAME,vacancy_zscore
18097310103,2024,0,NA,1.5656280132360108
18097310103,2025,0,NA,1.4661135154275444
18097310103,2026,0,NA,1.4676677728740324
18097310103,2027,0,NA,1.3607119159002925
18097310103,2028,0,NA,1.2514058455628372
18097310104,2024,11.628371778004649,NA,0.16913924679866424
18097310104,2025,12.25065641639365,NA,0.04570388872933776
18097310104,2026,12.273500306948746,NA,0.05256719591852341
18097310104,2027,12.948046371744566,NA,-0.054232697608842965
18097310104,2028,13.653901629698971,NA,-0.14359090938157434
18097310105,2024,0.6909696887675516,NA,1.4826472291044104
18097310105,2025,0.616838746786857,NA,1.3945937809515991
18097310105,2026,0.6168417569933463,NA,1.3965476274891548
18097310105,2027,0.5427167334061201,NA,1.3014045812996056
18097310105,2028,0.46859462146343667,NA,1.2035303009709497
18097310106,2024,1.9849338653893425,NA,1.3272508871812292
18097310106,2025,1.401213134380784,NA,1.3036490272008525
18097310106,2026,1.402097249040514,NA,1.3060098451073592
18097310106,2027,0.8200330635152016,NA,1.2710998359920633
18097310106,2028,0.2387554170279147,NA,1.2270125958520817
18097310108,2024,2.2360477341902305,NA,1.297093810715857
18097310108,2025,1.9877014088907543,NA,1.2356482962404445
18097310108,2026,1.993692323391998,NA,1.2378005722754797
18097310108,2027,1.756538497529562,NA,1.1687598163986586
18097310108,2028,1.5246902542751908,NA,1.0956307407837826
18097310110,2024,6.800688347761058,NA,0.7489113599506689
18097310110,2025,6.651879506629195,NA,0.6948573993708633
18097310110,2026,6.64403719339091,NA,0.7016286943270325
18097310110,2027,6.477684065619506,NA,0.652839553266226
18097310110,2028,6.301187980286092,NA,0.6076237953337537
18097310201,2024,4.733071270570576,NA,0.997218180261671
18097310201,2025,3.566323455278822,NA,1.0526140264516817
18097310201,2026,3.6749595181703305,NA,1.0439551233125457
18097310201,2027,2.7961420727405195,NA,1.0551533744152886
18097310201,2028,2.142575933489622,NA,1.0325023734637846
18097310203,2024,6.143714564194308,NA,0.8278094659030601
18097310203,2025,6.314241310526505,NA,0.7340050603438301
18097310203,2026,6.320860855352396,NA,0.7388900306189908
18097310203,2027,6.50683985428029,NA,0.6496534489742138
18097310203,2028,6.702391504636531,NA,0.566633488700538
18097310204,2024,4.164828264574049,NA,1.0654603202302046
18097310204,2025,3.9548187403785584,NA,1.0075697101206735
18097310204,2026,4.170156879551132,NA,0.9868602396793835
18097310204,2027,4.262865740043292,NA,0.8948718390413306
18097310204,2028,4.518989786317853,NA,0.7897080643346207
18097310305,2024,5.821986933589873,NA,0.8664467773486264
18097310305,2025,4.941940392164584,NA,0.8931173045301605
18097310305,2026,4.965894769620465,NA,0.8951138658511326
18097310305,2027,4.142234223767253,NA,0.9080542844291304
18097310305,2028,3.3540053159366288,NA,0.9087326186208136
18097310306,2024,4.099108531480734,NA,1.0733528154780494
18097310306,2025,2.9960175406593343,NA,1.1187384840933492
18097310306,2026,3.0130124767358595,NA,1.1202757830120105
18097310306,2027,1.9468860740340368,NA,1.147958896295587
18097310306,2028,0.9012500040675409,NA,1.1593266095199175
18097310308,2024,19.147203110986133,NA,-0.7338215196524671
18097310308,2025,20.66954417717269,NA,-0.9304290477474273
18097310308,2026,20.669548492760896,NA,-0.9154738954368381
18097310308,2027,22.191897863295623,NA,-1.0643880137491166
18097310308,2028,23.714251247341693,NA,-1.171440343985071
18097310309,2024,14.00300845870246,NA,-0.11603855042632194
18097310309,2025,14.665554888280331,NA,-0.23429294738929352
18097310309,2026,14.697021471056669,NA,-0.22685807900906618
18097310309,2027,15.417372423575046,NA,-0.324077235983365
18097310309,2028,16.164897218116725,NA,-0.40013521389768403
18097320105,2024,3.3442973163739023,NA,1.1640005349353377
18097320105,2025,2.3785243269507443,NA,1.1903341011248398
18097320105,2026,2.378500804355603,NA,1.1934332206797273
18097320105,2027,1.4126803100041765,NA,1.2063361639248609
18097320105,2028,0.44683582433426255,NA,1.2057533616176346
18097320106,2024,4.164105390347663,NA,1.0655471325334203
18097320106,2025,3.51583226285671,NA,1.0584682577142501
18097320106,2026,3.523688404307741,NA,1.0613962635863157
18097320106,2027,2.892958687740937,NA,1.044573388527072
18097320106,2028,2.2723430442956025,NA,1.0192442804012785
18097320107,2024,3.869455823653696,NA,1.100932551728743
18097320107,2025,4.132157978913525,NA,0.9870080068906885
18097320107,2026,4.110352266561066,NA,0.9937555458455415
18097320107,2027,4.3204419432354735,NA,0.8885799911258903
18097320107,2028,4.496009360706538,NA,0.7920559367614511
18097320108,2024,14.37425998022102,NA,-0.16062334606418577
18097320108,2025,14.84155016274824,NA,-0.25469882390812915
18097320108,2026,14.72070753187816,NA,-0.2295890161904764
18097320108,2027,14.874855995975658,NA,-0.26479179052441854
18097320108,2028,14.794451863417736,NA,-0.26011905774819216
18097320202,2024,14.36971859465023,NA,-0.16007795638670194
18097320202,2025,14.379694931397289,NA,-0.20114874508346006
18097320202,2026,14.501210229991864,NA,-0.20428158548437048
18097320202,2027,14.703228684415723,NA,-0.24603659510337653
18097320202,2028,14.99716900095796,NA,-0.28083033549939035
18097320203,2024,7.660389107175288,NA,0.6456671159636886
18097320203,2025,8.092140621654282,NA,0.5278654698606111
18097320203,2026,8.097267923082013,NA,0.5340752179262482
18097320203,2027,8.539660360599653,NA,0.42750963336939296
18097320203,2028,8.987595527297955,NA,0.3331579384545469
18097320204,2024,16.557946563566762,NA,-0.42286932867290083
18097320204,2025,16.626745692758032,NA,-0.4616843788185801
18097320204,2026,16.66942869957545,NA,-0.4542711671472488
18097320204,2027,16.79354954495734,NA,-0.47446396995302614
18097320204,2028,16.951457089889832,NA,-0.4804967470660732
18097320205,2024,14.339480148316657,NA,-0.15644652359236796
18097320205,2025,17.996526901328032,NA,-0.6205044737581045
18097320205,2026,14.86963655067955,NA,-0.24676011939336193
18097320205,2027,15.197843106924743,NA,-0.30008737564586035
18097320205,2028,12.588066251541852,NA,-0.034696255372930224
18097320206,2024,33.7754912664775,NA,-2.4905799439051823
18097320206,2025,37.72462034415466,NA,-2.907889972962385
18097320206,2026,37.8510136272151,NA,-2.8964492176064898
18097320206,2027,41.96644014545972,NA,-3.225322666239618
18097320206,2028,46.18095409945105,NA,-3.4668265583417277
18097320301,2024,2.4178125435507933,NA,1.2752650870345432
18097320301,2025,2.2266290782700695,NA,1.2079456858548656
18097320301,2026,2.239839585872836,NA,1.209420474956751
18097320301,2027,2.0791266637928154,NA,1.1335078274011492
18097320301,2028,1.9369151131834168,NA,1.0535144024593888
18097320303,2024,4.743290186202634,NA,0.9959909576411892
18097320303,2025,2.925434989338015,NA,1.126922219883993
18097320303,2026,3.032016663986663,NA,1.1180846528803758
18097320303,2027,1.46855318801999,NA,1.2002304530307257
