GEOID,NAME,year,percent_white,white_delta,white_delta_zscore_raw,white_delta_zscore
18097310103,NA,2024,54.72103505248802,0.02959080729606156,0.5941730270773187,0.5941730270773187
18097310103,NA,2025,53.38597738601362,-0.02439752218125668,-0.03229527398917255,-0.03229527398917255
18097310103,NA,2026,52.3705233343577,-0.019020988307726583,0.08491519219237707,0.08491519219237707
18097310103,NA,2027,51.11226365393523,-0.02402610476869127,0.09073964895244571,0.09073964895244571
18097310103,NA,2028,50.03846550844942,-0.02100862041165219,0.1654818102364846,0.1654818102364846
18097310104,NA,2024,54.989854890422386,-0.14990595625995307,-1.7435987647086086,-1.7435987647086086
18097310104,NA,2025,47.605650635603105,-0.13428302856106267,-1.7232153493799314,-1.7232153493799314
18097310104,NA,2026,42.249551642927955,-0.11250973195752212,-1.244802045388762,-1.244802045388762
18097310104,NA,2027,38.40986608939068,-0.09088109587501358,-0.6511997497245325,-0.6511997497245325
18097310104,NA,2028,35.638989528743785,-0.07213970895389954,-0.24906763394501316,-0.24906763394501316
18097310105,NA,2024,37.57400093520479,-0.030986291671034283,-0.19478511560979395,-0.19478511560979395
18097310105,NA,2025,36.08975956502836,-0.03950181863081237,-0.2647204493615333,-0.2647204493615333
18097310105,NA,2026,34.61645895641057,-0.040823231475486055,-0.22518437088126567,-0.22518437088126567
18097310105,NA,2027,33.14273497788558,-0.04257292695306347,-0.11508818635393941,-0.11508818635393941
18097310105,NA,2028,31.66902738232237,-0.04446547928366629,-0.02469657408644539,-0.02469657408644539
18097310106,NA,2024,37.58600513814169,0.057830387232158165,0.961966251192408,0.961966251192408
18097310106,NA,2025,34.743712183739646,-0.07562104416140059,-0.8205237174116494,-0.8205237174116494
18097310106,NA,2026,35.26292725639473,0.014944144998359832,0.568011033152939,0.568011033152939
18097310106,NA,2027,33.474697353931276,-0.05071132891099306,-0.2054060662150707,-0.2054060662150707
18097310106,NA,2028,33.2703703516971,-0.00610392381068614,0.2863228458525975,0.2863228458525975
18097310108,NA,2024,65.37663870180087,-0.010785236068566295,0.06831410142434122,0.06831410142434122
18097310108,NA,2025,64.66647430496074,-0.010862663039000298,0.1759793729157933,0.1759793729157933
18097310108,NA,2026,63.95637053459407,-0.010981018804549159,0.199269986370051,0.199269986370051
18097310108,NA,2027,63.24626816407401,-0.011102918514363846,0.23415782730920784,0.23415782730920784
18097310108,NA,2028,62.53616582587597,-0.011227576880202483,0.24478241335443443,0.24478241335443443
18097310110,NA,2024,40.796217918205535,-0.0038741656977193673,0.15832411076343206,0.15832411076343206
18097310110,NA,2025,40.52522575083303,-0.006642580641073925,0.24091807394696269,0.24091807394696269
18097310110,NA,2026,40.27744520426517,-0.0061142298895834335,0.2684917221561312,0.2684917221561312
18097310110,NA,2027,40.024868096184136,-0.0062709317038383006,0.2877819670972899,0.2877819670972899
18097310110,NA,2028,39.773282172757696,-0.0062857402258478245,0.2848487545316965,0.2848487545316965
18097310111,NA,2024,35.995132128941094,0.007308028616936468,0.30396137976585375,0.30396137976585375
18097310111,NA,2025,35.33633138098411,-0.018302495615158065,0.061495100375887055,0.061495100375887055
