GEOID,NAME,year,housing_pressure_forecast,housing_pressure_delta,housing_pressure_delta_zscore
18097310103,NA,2024,4.192234353411609,-0.9010020593609144,-1.4475261737514664
18097310103,NA,2025,3.996915356275369,-0.04659066757021613,-0.31989775359473394
18097310103,NA,2026,3.9593375472065553,-0.009401702492852326,-0.007109723278871717
18097310103,NA,2027,3.798984598309185,-0.04049994398949508,-0.3141566522429686
18097310103,NA,2028,3.743344162242367,-0.014646133625174862,-0.012579142322284369
18097310104,NA,2024,24.28248623015668,-0.2636923530210554,1.0304310477457082
18097310104,NA,2025,28.62096401046922,0.17866695111823172,1.4962767829317334
18097310104,NA,2026,31.71883272440452,0.1082377488334123,1.0119693654728983
18097310104,NA,2027,34.282251515581294,0.08081693337991203,0.8915824452771377
18097310104,NA,2028,36.677267012971605,0.06986167452571701,0.9056291065260841
18097310105,NA,2024,33.56544236931657,-0.5211482965742551,0.029403120195501144
18097310105,NA,2025,36.68156600595955,0.09283725810482824,0.8042615523861868
18097310105,NA,2026,40.087142082148524,0.09284162174634747,0.8785968362294753
18097310105,NA,2027,43.80889880843557,0.09284165777296471,1.011093272228768
18097310105,NA,2028,47.87618961204926,0.09284165807040368,1.1553150339075573
18097310106,NA,2024,30.967637801210874,-0.12791806567865227,1.5583421598264726
18097310106,NA,2025,30.409029937372697,-0.018038439593746958,-0.08969098094975034
18097310106,NA,2026,29.676156397033985,-0.02410052349082037,-0.13444167645834332
18097310106,NA,2027,29.010555299132957,-0.022428817566399917,-0.13455209814447078
18097310106,NA,2028,28.34647075751052,-0.022891135132538598,-0.10216409975380326
18097310108,NA,2024,6.529860170160466,-0.8522856874128749,-1.2581094985103525
18097310108,NA,2025,6.702088511151519,0.026375502155174146,0.2684033225451532
18097310108,NA,2026,6.878200529000753,0.026277184724762037,0.30196692969329186
18097310108,NA,2027,7.058905595650588,0.02627214282106527,0.3494749663433638
18097310108,NA,2028,7.2443563463937375,0.026271884250359756,0.432010089867432
18097310110,NA,2024,17.64636380891112,-0.5561672132910234,-0.10675576253309367
18097310110,NA,2025,17.456281649022678,-0.010771746629889445,-0.031102140303398938
18097310110,NA,2026,17.29377730431385,-0.009309218765837568,-0.006308561498635454
18097310110,NA,2027,17.13075371840273,-0.009426719394059369,-0.005327389628035814
18097310110,NA,2028,16.969428507353886,-0.00941728622690663,0.044234197392864195
18097310111,NA,2024,20.47284818123839,-0.46180273339505207,0.2601477101191047
18097310111,NA,2025,19.907958843010512,-0.02759212266056621,-0.1667190345047312
18097310111,NA,2026,19.40510401128897,-0.025258984895786485,-0.14447711762724808
18097310111,NA,2027,18.92240136021056,-0.024875035495692033,-0.15886446640153543
18097310111,NA,2028,18.45290015622987,-0.024811925032302895,-0.12303418464724981
18097310112,NA,2024,1.370540958764872,-0.9595690417164363,-1.6752435228291085
18097310112,NA,2025,1.1532661959368034,-0.1585321193347451,-1.2224430946148448
18097310112,NA,2026,0.97041575788928,-0.15855007169354607,-1.299142136387558
18097310112,NA,2027,0.8165564571170133,-0.1585498787724976,-1.4874263976729527
18097310112,NA,2028,0.6870915281373218,-0.15854988084570265,-1.5761459964306
18097310201,NA,2024,18.054328042432548,-0.6323155119597623,-0.4028319476497554
18097310201,NA,2025,17.556694278415247,-0.027563128511220558,-0.16648526467241023
18097310201,NA,2026,17.009163231958695,-0.03118645445285806,-0.19582520032164363
18097310201,NA,2027,16.470460272381025,-0.03167133810354028,-0.22641127398963565
18097310201,NA,2028,15.947748051729386,-0.031736345676275035,-0.1982705479243401
18097310203,NA,2024,30.22820557727415,-0.5368108806928453,-0.03149539278473379
18097310203,NA,2025,30.167812318873153,-0.0019979108004478663,0.039638273778376025
18097310203,NA,2026,30.17563815458499,2.594101166208951e-4,0.07658191012635886
18097310203,NA,2027,30.21092314657925,0.0011693204900422582,0.09998408758911131
18097310203,NA,2028,30.257319633336746,0.001535752036850635,0.16324296479310577
18097310204,NA,2024,22.611809856553943,-0.639401137550745,-0.4303819393215245
18097310204,NA,2025,21.785384764738776,-0.03654838321469567,-0.238930276262569
18097310204,NA,2026,21.87274219880285,0.004009910084556756,0.10907148778587564
18097310204,NA,2027,21.531862718038965,-0.015584670530361833,-0.0665297763581991
18097310204,NA,2028,21.39692015166015,-0.006267110660414965,0.07846200726942057
18097310305,NA,2024,27.81154978699983,-0.28412449361116354,0.9509877726437527
18097310305,NA,2025,27.8675007629113,0.002011789214911852,0.07196710291812744
18097310305,NA,2026,27.79387243613509,-0.002642085754392509,0.051447027781075384
18097310305,NA,2027,27.688754270517563,-0.0037820626060318663,0.05077348874095616
18097310305,NA,2028,27.576284929870823,-0.00406191407341483,0.1024222748567704
18097310306,NA,2024,24.020078666908525,-0.2777295789742089,0.9758521749082449
18097310306,NA,2025,23.791065436506457,-0.009534241480964378,-0.021124562837277202
18097310306,NA,2026,23.255009580380975,-0.022531813783460364,-0.12085236402047093
18097310306,NA,2027,22.574827069776784,-0.02924885961681234,-0.20233484630962523
18097310306,NA,2028,21.83579697439906,-0.032736910590431045,-0.20914205172722997
18097310308,NA,2024,5.889883398000404,-0.8563589661099902,-1.27394702657917
18097310308,NA,2025,5.648008688699212,-0.041066128640731336,-0.2753553004328866
18097310308,NA,2026,4.511294347620559,-0.20125931168502653,-1.6691208542505611
18097310308,NA,2027,4.105399666896782,-0.08997299875541553,-0.8058573759879921
18097310308,NA,2028,3.4039623941860215,-0.17085724402588243,-1.7098699994651585
18097310309,NA,2024,19.887613212225748,-0.43046487380640464,0.3819940819873888
18097310309,NA,2025,18.46143915972165,-0.071711674864401,-0.5224397765693114
18097310309,NA,2026,17.15785867290092,-0.07061098950859812,-0.5373493982511165
18097310309,NA,2027,15.947795257321648,-0.07052531662884276,-0.6125715677426099
18097310309,NA,2028,14.823178231404782,-0.07051865212531827,-0.6196544942135795
18097310310,NA,2024,17.103339888238402,-0.7231396855591409,-0.7559701701156093
18097310310,NA,2025,17.322520990104195,0.012815105312648178,0.1590705168714306
18097310310,NA,2026,18.16846893576726,0.048835152005088034,0.4973805641582325
18097310310,NA,2027,18.674490490495085,0.027851634417672244,0.36517315124169797
18097310310,NA,2028,19.420247665745517,0.039934539345531705,0.5804598353294989
18097310311,NA,2024,0.5896202120950054,-0.9733119272420155,-1.7286779552464264
18097310311,NA,2025,0.414093986636205,-0.29769370496158953,-2.344454992590592
18097310311,NA,2026,0.31737203055210667,-0.23357488687482852,-1.9490620350843428
18097310311,NA,2027,0.2533722069150921,-0.20165552561666888,-1.9158429943650301
18097310311,NA,2028,0.20616994195655383,-0.18629614326387534,-1.8776192872960755
18097310312,NA,2024,37.190649588993026,-0.35347900292552203,0.6813268754546848
18097310312,NA,2025,35.020657464787824,-0.0583477876344336,-0.4146913601677012
18097310312,NA,2026,36.36917020318152,0.0385062085070671,0.40790369046440206
18097310312,NA,2027,35.925972948863965,-0.012186070010439365,-0.032751907915007164
18097310312,NA,2028,36.40770414205318,0.013408995043082017,0.29225009333484625
18097320105,NA,2024,11.06790652265833,-0.6050970952715509,-0.29700259730512757
18097320105,NA,2025,9.802562531219426,-0.11432550400100316,-0.8660203925431923
18097320105,NA,2026,8.910052584245038,-0.09104863591860812,-0.7143952603741901
18097320105,NA,2027,8.218704587972859,-0.07759190978228758,-0.6828047276798848
18097320105,NA,2028,7.644377502560101,-0.06988048776606726,-0.6127206050072822
18097320106,NA,2024,22.52805232744807,-0.3778326488090684,0.5866361903974935
18097320106,NA,2025,22.82062601713747,0.0129870831901846,0.16045711521978442
18097320106,NA,2026,23.19170465547668,0.016260668662662514,0.2151965312771879
18097320106,NA,2027,23.559035142693286,0.0158388739712525,0.2457812310615638
18097320106,NA,2028,23.93346207365055,0.0158931352107341,0.3192411849646395
18097320107,NA,2024,2.2294178037239782,-0.7980409754273573,-1.0471977950553488
18097320107,NA,2025,1.851007969152883,-0.16973482222085357,-1.3127666265800932
18097320107,NA,2026,1.8280102434781969,-0.012424433637209575,-0.03329483435687143
18097320107,NA,2027,1.6410293218591605,-0.10228658306819083,-0.9282391118062884
18097320107,NA,2028,1.5525139236021206,-0.05393894982739167,-0.43950996382623225
18097320108,NA,2024,46.880664018554015,-0.13748681247417616,1.5211374146503462
18097320108,NA,2025,46.06727241971649,-0.01735025763533571,-0.08414240702518934
18097320108,NA,2026,45.48409549446422,-0.012659245807717268,-0.03532894935869292
18097320108,NA,2027,44.85151823967216,-0.013907658224599606,-0.04986235672191224
18097320108,NA,2028,44.24260711225808,-0.013576154193047696,-9.534243895339378e-4
18097320109,NA,2024,0.6892961399168737,-0.9472688452963591,-1.6274184854230247
18097320109,NA,2025,0.5298794058252259,-0.23127466535772678,-1.8089411699219833
18097320109,NA,2026,0.4073317235630454,-0.23127466535772723,-1.9291358315773783
18097320109,NA,2027,0.3131262155064159,-0.23127466535772712,-2.2102204593566515
18097320109,NA,2028,0.24070805480043808,-0.2312746653577269,-2.366327383166235
18097320202,NA,2024,24.19481406895126,-0.566051346149681,-0.1451867767663636
18097320202,NA,2025,26.959155966716683,0.11425348795355483,0.9769332317998433
18097320202,NA,2026,29.78683048471213,0.1048873533535859,0.9829457859334956
18097320202,NA,2027,32.80894238100153,0.10145798821531127,1.0967288961976864
18097320202,NA,2028,36.09632460757574,0.10019775061319303,1.2352416702725766
18097320203,NA,2024,39.23352302840242,-0.1467481054767914,1.4851280966563825
18097320203,NA,2025,37.46767521895516,-0.045008647532593815,-0.3071424713302161
