GEOID,year,vacancy_rate_forecast,NAME,vacancy_delta,vacancy_delta_zscore
18097310104,2024,11.628371778004649,NA,0.03416257206024942,NA
18097310104,2025,12.25065641639365,NA,0.053514339777652076,-0.8170596108324928
18097310104,2026,12.273500306948746,NA,0.0018647074718809442,0.1501242969171835
18097310104,2027,12.948046371744566,NA,0.05495955089632587,-0.8465593525120312
18097310104,2028,13.653901629698971,NA,0.05451442153425812,-0.7279961678937814
18097310105,2024,0.6909696887675516,NA,-0.7347218332143399,NA
18097310105,2025,0.616838746786857,NA,-0.10728537472160071,0.3667493528894131
18097310105,2026,0.6168417569933463,NA,4.880054155220748e-6,0.17619399640799938
18097310105,2027,0.5427167334061201,NA,-0.12016862144439056,0.3745399130360944
18097310105,2028,0.46859462146343667,NA,-0.1365760577852262,0.2666531055047713
18097310106,2024,1.9849338653893425,NA,0.22648018840373063,NA
18097310106,2025,1.401213134380784,NA,-0.2940756572229988,1.7419011151292
18097310106,2026,1.402097249040514,NA,6.309637256722844e-4,0.16741801374584703
18097310106,2027,0.8200330635152016,NA,-0.4151382408913731,2.4312460434750447
18097310106,2028,0.2387554170279147,NA,-0.7088465969842097,3.2453911254665453
18097310108,2024,2.2360477341902305,NA,-0.04767300346410963,NA
18097310108,2025,1.9877014088907543,NA,-0.11106485854579184,0.39457394725049455
18097310108,2026,1.993692323391998,NA,0.0030139911731446034,0.1340144791802913
18097310108,2027,1.756538497529562,NA,-0.11895206852126061,0.36605737215715317
18097310108,2028,1.5246902542751908,NA,-0.13199155246551564,0.2427901956341122
18097310110,2024,6.800688347761058,NA,-0.0072397216051898194,NA
18097310110,2025,6.651879506629195,NA,-0.021881438101902573,-0.2619952069027374
18097310110,2026,6.64403719339091,NA,-0.0011789620107323096,0.19278822799210235
18097310110,2027,6.477684065619506,NA,-0.025037958537752036,-0.28876845736362944
18097310110,2028,6.301187980286092,NA,-0.02724678813376713,-0.302419090071276
18097310201,2024,4.733071270570576,NA,-0.26056140939594774,NA
18097310201,2025,3.566323455278822,NA,-0.24650966541458863,1.3917198499045011
18097310201,2026,3.6749595181703305,NA,0.03046164046918043,-0.25072657907981655
18097310201,2027,2.7961420727405195,NA,-0.2391366329573481,1.204056658060781
18097310201,2028,2.142575933489622,NA,-0.23373853053551485,0.7723956378739768
18097310203,2024,6.143714564194308,NA,0.018421589436881325,NA
18097310203,2025,6.314241310526505,NA,0.027756293778039343,-0.6274286414165339
18097310203,2026,6.320860855352396,NA,0.0010483515754862172,0.16156737636301233
18097310203,2027,6.50683985428029,NA,0.02942304904092463,-0.6685034564016542
18097310203,2028,6.702391504636531,NA,0.030053244698746484,-0.6006727562169635
18097310204,2024,4.164828264574049,NA,0.26680193047460654,NA
18097310204,2025,3.9548187403785584,NA,-0.05042453394341073,-0.051860675166937396
18097310204,2026,4.170156879551132,NA,0.05444955971660059,-0.586971673775171
18097310204,2027,4.262865740043292,NA,0.022231504274280223,-0.6183596679104391
18097310204,2028,4.518989786317853,NA,0.0600825974575403,-0.7569792033436444
18097310305,2024,5.821986933589873,NA,-0.15685686664318965,NA
18097310305,2025,4.941940392164584,NA,-0.15115914059302893,0.68974841711396
18097310305,2026,4.965894769620465,NA,0.004847160336830525,0.10831845558281034
18097310305,2027,4.142234223767253,NA,-0.1658634715524112,0.6931519739081702
18097310305,2028,3.3540053159366288,NA,-0.19029076224322017,0.5462446997601637
18097310306,2024,4.099108531480734,NA,-0.2538232944389307,NA
18097310306,2025,2.9960175406593343,NA,-0.26910509501023794,1.5580676085294158
18097310306,2026,3.0130124767358595,NA,0.005672508870820936,0.09674932392508541
18097310306,2027,1.9468860740340368,NA,-0.3538406863342326,2.003842514681305
18097310306,2028,0.9012500040675409,NA,-0.5370812827274943,2.3513316954575907
18097310308,2024,19.147203110986133,NA,8.650190367937013,NA
18097310308,2025,20.66954417717269,NA,0.07950722919490416,-1.0084194996295481
18097310308,2026,20.669548492760896,NA,2.0878971351834252e-7,0.17625947477393628
18097310308,2027,22.191897863295623,NA,0.07365179607420558,-0.9768929621939022
18097310308,2028,23.714251247341693,NA,0.06859951291340316,-0.8013107880460286
18097310309,2024,14.00300845870246,NA,0.09730471456556344,NA
18097310309,2025,14.665554888280331,NA,0.047314577544664616,-0.7714169047666857
18097310309,2026,14.697021471056669,NA,0.002145611469599684,0.14618679027731935
18097310309,2027,15.417372423575046,NA,0.04901339730209875,-0.8050991825707785
18097310309,2028,16.164897218116725,NA,0.048485875154616,-0.6966168480160218
18097320105,2024,3.3442973163739023,NA,-0.22342305339550195,NA
18097320105,2025,2.3785243269507443,NA,-0.2887820364220218,1.702929430544708
18097320105,2026,2.378500804355603,NA,-9.889575176891263e-6,0.17640102626174234
18097320105,2027,1.4126803100041765,NA,-0.4060627150441902,2.367966002358088
18097320105,2028,0.44683582433426255,NA,-0.6836964306999214,3.1144814395962377
18097320106,2024,4.164105390347663,NA,-0.152516579006708,NA
18097320106,2025,3.51583226285671,NA,-0.15568124884486378,0.7230402192798636
18097320106,2026,3.523688404307741,NA,0.0022345040558471307,0.1449407590658502
18097320106,2027,2.892958687740937,NA,-0.17899701795304357,0.7847269823691349
18097320106,2028,2.2723430442956025,NA,-0.21452627238516242,0.6723934887473092
18097320107,2024,3.869455823653696,NA,0.12214218885957195,NA
18097320107,2025,4.132157978913525,NA,0.0678912403273737,-0.9229024837150683
18097320107,2026,4.110352266561066,NA,-0.005277076158204386,0.25023259260648284
18097320107,2027,4.3204419432354735,NA,0.05111232883457428,-0.8197341994186406
18097320107,2028,4.496009360706538,NA,0.04063644871931471,-0.655759625153471
18097320108,2024,14.37425998022102,NA,0.08126851780000854,NA
18097320108,2025,14.84155016274824,NA,0.03250881667440342,-0.6624167582955319
18097320108,2026,14.72070753187816,NA,-0.008142183905653577,0.29039357597135124
18097320108,2027,14.874855995975658,NA,0.01047153907267595,-0.5363620961970053
18097320108,2028,14.794451863417736,NA,-0.005405372164925426,-0.4161063266137238
18097320202,2024,14.36971859465023,NA,0.06513687314984695,NA
18097320202,2025,14.379694931397289,NA,6.942611075746452e-4,-0.4281977102448243
18097320202,2026,14.501210229991864,NA,0.008450478203765766,0.057809783076110684
18097320202,2027,14.703228684415723,NA,0.013931144450691324,-0.5604845519373758
18097320202,2028,14.99716900095796,NA,0.019991548989086283,-0.5483004017050535
18097320203,2024,7.660389107175288,NA,0.030621144419257007,NA
18097320203,2025,8.092140621654282,NA,0.056361564463426994,-0.8380209049196554
18097320203,2026,8.097267923082013,NA,6.336149688266346e-4,0.16738085055981575
18097320203,2027,8.539660360599653,NA,0.05463477826348795,-0.8442948417932362
18097320203,2028,8.987595527297955,NA,0.052453510770169354,-0.7172688757683954
18097320204,2025,16.626745692758032,NA,0.004155052012467131,-0.453676084429363
18097320204,2026,16.66942869957545,NA,0.002567129347266661,0.14027826118690395
18097320204,2027,16.79354954495734,NA,0.007446016754314444,-0.5152663294139029
18097320204,2028,16.951457089889832,NA,0.009402868911647433,-0.49318502922401114
18097320205,2024,14.339480148316657,NA,-0.30763220112269873,NA
18097320205,2025,17.996526901328032,NA,0.255033426259925,-2.300644962222362
