GEOID,NAME,year,percent_white,white_zscore
18097310103,NA,2024,54.72103505248802,0.10671271623052933
18097310103,NA,2025,53.38597738601362,0.08711638010526206
18097310103,NA,2026,52.3705233343577,0.07390917792328665
18097310103,NA,2027,51.11226365393523,0.05602814720265895
18097310103,NA,2028,50.03846550844942,0.04339513589817202
18097310104,NA,2024,54.989854890422386,0.11818535842824246
18097310104,NA,2025,47.605650635603105,-0.1580439825039146
18097310104,NA,2026,42.249551642927955,-0.3471824375107896
18097310104,NA,2027,38.40986608939068,-0.46446742561143944
18097310104,NA,2028,35.638989528743785,-0.5331649345484033
18097310105,NA,2024,37.57400093520479,-0.6250851625688808
18097310105,NA,2025,36.08975956502836,-0.6464662036922547
18097310105,NA,2026,34.61645895641057,-0.6647637358406122
18097310105,NA,2027,33.14273497788558,-0.6802942733415125
18097310105,NA,2028,31.66902738232237,-0.6921236117972792
18097310106,NA,2024,37.58600513814169,-0.6245728494664626
18097310106,NA,2025,34.743712183739646,-0.7035559632049738
18097310106,NA,2026,35.26292725639473,-0.6378668736551596
18097310106,NA,2027,33.474697353931276,-0.6666917273501228
18097310106,NA,2028,33.2703703516971,-0.6280052774542055
18097310108,NA,2024,65.37663870180087,0.5614705533327904
18097310108,NA,2025,64.66647430496074,0.5655548550347926
18097310108,NA,2026,63.95637053459407,0.5559481819302933
18097310108,NA,2027,63.24626816407401,0.5532331508991395
18097310108,NA,2028,62.53616582587597,0.543807441567572
18097310110,NA,2024,40.796217918205535,-0.4875679956312681
18097310110,NA,2025,40.52522575083303,-0.45834526427038064
18097310110,NA,2026,40.27744520426517,-0.4292335993342788
18097310110,NA,2027,40.024868096184136,-0.39829083254304126
18097310110,NA,2028,39.773282172757696,-0.3676264065187085
18097310111,NA,2024,35.995132128941094,-0.6924678268490984
18097310111,NA,2025,35.33633138098411,-0.6784212703824107
18097310111,NA,2026,34.59583588164004,-0.6656217763662756
18097310111,NA,2027,33.84808557143874,-0.651391709131826
18097310111,NA,2028,33.09969100588834,-0.6348393383451691
18097310112,NA,2024,59.58771343467318,0.3144118957225868
18097310112,NA,2025,58.40125513549938,0.29982880359625985
18097310112,NA,2026,57.215673456762154,0.27549576014755595
18097310112,NA,2027,56.03007563826743,0.25754123579640303
18097310112,NA,2028,54.84447811692728,0.23582956698555724
18097310113,NA,2024,73.26803261703341,0.8982579702375584
18097310113,NA,2025,71.14643021114063,0.8403885120659824
18097310113,NA,2026,72.3743026603647,0.9061833911105313
18097310113,NA,2027,72.13160800778287,0.9173203264185117
18097310113,NA,2028,72.53455713354147,0.9441465375752791
18097310201,NA,2024,30.748099682251645,-0.9163996851643946
18097310201,NA,2025,29.94140336573889,-0.907235758832219
18097310201,NA,2026,29.144789067469155,-0.8924172045888136
18097310201,NA,2027,28.347687487964738,-0.8767769434244845
18097310201,NA,2028,27.550609459598192,-0.8570265104167075
18097310203,NA,2024,28.820825233903108,-0.9986515395386847
18097310203,NA,2025,27.372794600289556,-1.0161778798453514
18097310203,NA,2026,25.833755386099895,-1.0301755704999684
18097310203,NA,2027,24.32739398519762,-1.0415131642025497
18097310203,NA,2028,22.809299190867108,-1.0468702371190834
18097310204,NA,2024,12.80307997657392,-1.682253841971148
18097310204,NA,2025,12.28976734910236,-1.655892655464659
18097310204,NA,2026,11.816006374005294,-1.6133959129944235
18097310204,NA,2027,11.335422335671147,-1.5738743732848348
18097310204,NA,2028,10.85601534530194,-1.5254839162404714
18097310305,NA,2024,7.191977320197536,-1.9217234198337805
18097310305,NA,2025,6.0427324527256,-1.9208474593291875
18097310305,NA,2026,4.954375099992426,-1.898879904628718
18097310305,NA,2027,3.8816085306543298,-1.879303097773901
18097310305,NA,2028,2.8128341184590404,-1.8475357146044502
18097310306,NA,2024,4.5061379375767805,-2.0363491649949617
18097310306,NA,2025,4.110741820491649,-2.002788765488458
18097310306,NA,2026,3.608385088306204,-1.9548809612129414
18097310306,NA,2027,3.138154513476552,-1.909766994260026
18097310306,NA,2028,2.6582746861114575,-1.8537243285045741
18097310308,NA,2024,23.730611000305636,-1.21589073981686
18097310308,NA,2025,24.218340221395607,-1.1499674064164611
18097310308,NA,2026,24.720826559038628,-1.0764799187323837
18097310308,NA,2027,25.226301122079335,-1.0046793946137371
18097310308,NA,2028,25.73238078239601,-0.9298290245979981
18097310309,NA,2024,25.07711935903597,-1.1584247107668952
18097310309,NA,2025,26.685985033518236,-1.0453074584493895
18097310309,NA,2026,28.114415464597688,-0.9352867726660743
18097310309,NA,2027,29.576769230273044,-0.8264138838329821
18097310309,NA,2028,31.03274512537056,-0.7176005766124628
18097310310,NA,2024,26.252309078277065,-1.1082701862091657
18097310310,NA,2025,25.090453778129785,-1.1129785500702096
18097310310,NA,2026,24.983880694109004,-1.0655353282265931
18097310310,NA,2027,24.48507762565429,-1.0350518929074366
18097310310,NA,2028,24.132059597767917,-0.9939064463213116
18097310311,NA,2024,21.38820968159368,-1.3158593002457781
18097310311,NA,2025,20.500046771976727,-1.3076709774614923
18097310311,NA,2026,20.32406865287277,-1.2594107623141015
18097310311,NA,2027,19.894738062144864,-1.2231464166679773
18097310311,NA,2028,19.555535027822277,-1.1771520958273904
18097310312,NA,2024,13.538027206624662,-1.6508879030978747
18097310312,NA,2025,13.100692936017127,-1.6214989577514693
18097310312,NA,2026,12.627090811624996,-1.579650056716619
18097310312,NA,2027,12.160813803533792,-1.540052994078425
18097310312,NA,2028,11.693057321935814,-1.4919684618103977
18097320105,NA,2024,44.13040557850934,-0.34527216530629307
