GEOID,NAME,year,estimate,income_delta,income_delta_zscore_raw,income_delta_zscore
18097310103,NA,2024,180631.3105919137,0.12605314219045893,0.42414128870785556,0.42414128870785556
18097310103,NA,2025,194567.1820598829,0.07715091820074016,0.38307627148779605,0.38307627148779605
18097310103,NA,2026,209634.0531868873,0.07743788529746598,0.3292906235419189,0.3292906235419189
18097310103,NA,2027,225896.9803563379,0.07757769752680566,0.4354860464722836,0.4354860464722836
18097310103,NA,2028,243436.93392803377,0.07764580803173082,0.3855063796352052,0.3855063796352052
18097310104,NA,2024,72943.26844504624,0.04112455318212782,-0.18632415864518648,-0.18632415864518648
18097310104,NA,2025,75922.765852222,0.040846776826575004,-0.2986419108810343,-0.2986419108810343
18097310104,NA,2026,79023.10551346494,0.0408354414705796,-0.33251192825256737,-0.33251192825256737
18097310104,NA,2027,82250.01235509907,0.040834978841527425,-0.33883204943052064,-0.33883204943052064
18097310104,NA,2028,85608.68831634402,0.04083495996018205,-0.33514094650850906,-0.33514094650850906
18097310105,NA,2024,61609.92307109901,0.028632157460539487,-0.2761193151612397,-0.2761193151612397
18097310105,NA,2025,63103.88582170069,0.02424873585506071,-0.6103194742026734,-0.6103194742026734
18097310105,NA,2026,64566.25838265953,0.023174049298497312,-0.6518445515879941,-0.6518445515879941
18097310105,NA,2027,66045.47383695377,0.022910038328804783,-0.7165832421462518,-0.7165832421462518
18097310105,NA,2028,67554.29249745322,0.022845148544535787,-0.687328146035034,-0.687328146035034
18097310106,NA,2024,64992.226445471904,0.07572746818729659,0.06240108493889666,0.06240108493889666
18097310106,NA,2025,69454.16409645896,0.06865340510731066,0.22351020102205962,0.22351020102205962
18097310106,NA,2026,74137.23130442682,0.06742673054799053,0.14828063986575685,0.14828063986575685
18097310106,NA,2027,79120.24207017527,0.06721333772618121,0.21706695193515008,0.21706695193515008
18097310106,NA,2028,84435.2388911447,0.06717619514176065,0.18054238314558763,0.18054238314558763
18097310108,NA,2024,141570.97579573726,0.0934316989954529,0.1896588353211908,0.1896588353211908
18097310108,NA,2025,148209.36638302702,0.04689090083597236,-0.18514551411374058,-0.18514551411374058
18097310108,NA,2026,157141.94074939622,0.060269972029191266,0.018880508204624922,0.018880508204624922
18097310108,NA,2027,165996.31605203907,0.056346353242279656,-0.011944483115556234,-0.011944483115556234
18097310108,NA,2028,175539.5035915257,0.057490357415491466,-0.009077618146714117,-0.009077618146714117
18097310110,NA,2024,63001.63766180738,0.02906859726580935,-0.2729821922668442,-0.2729821922668442
18097310110,NA,2025,64833.42441422859,0.029075224397407506,-0.5196878032205277,-0.5196878032205277
18097310110,NA,2026,66718.59116624978,0.029077081290302287,-0.5451128356955326,-0.5451128356955326
18097310110,NA,2027,68658.60777828885,0.029077601581917634,-0.5866076713286269,-0.5866076713286269
18097310110,NA,2028,70655.04542968259,0.029077747364767426,-0.5653123297735799,-0.5653123297735799
18097310111,NA,2024,53471.59844402005,0.00969822206314519,-0.4122161640255258,-0.4122161640255258
18097310111,NA,2025,54217.7738580926,0.01395461208913984,-0.8036222511629159,-0.8036222511629159
18097310111,NA,2026,55011.60176563617,0.01464146996557436,-0.8061206650252444,-0.8061206650252444
18097310111,NA,2027,55823.137432587435,0.014752082122760468,-0.8885044646891466,-0.8885044646891466
18097310111,NA,2028,56647.638994062385,0.014769889321800012,-0.8454177927465356,-0.8454177927465356
18097310112,NA,2024,158885.21423671243,0.07395510623419965,0.04966137331525605,0.04966137331525605
18097310112,NA,2025,158425.9720105781,-0.0028904025358215124,-1.1199374790525078,-1.1199374790525078
18097310112,NA,2026,169989.42632444948,0.07298963779183443,0.24886261812884858,0.24886261812884858
18097310112,NA,2027,169648.75324105524,-0.0020040839642815333,-1.2416248401922272,-1.2416248401922272
18097310112,NA,2028,181871.65007394497,0.07204825617269428,0.27592290108222817,0.27592290108222817
18097310201,NA,2024,71898.32880820932,0.0221687656664058,-0.3225780802142745,-0.3225780802142745
18097310201,NA,2025,73940.10834558212,0.028398150154773427,-0.5324018849904307,-0.5324018849904307
18097310201,NA,2026,75917.83263962164,0.026747652096964947,-0.5872308481338939,-0.5872308481338939
18097310201,NA,2027,77981.56206676856,0.027183724237009432,-0.6265193477656334,-0.6265193477656334
18097310201,NA,2028,80092.40013757529,0.027068425084886272,-0.6046489059247966,-0.6046489059247966
18097310203,NA,2024,62579.390295778045,0.0684364326335225,0.009993228727309122,0.009993228727309122
18097310203,NA,2025,66901.6564585453,0.0690685246746301,0.23130530500157762,0.23130530500157762
18097310203,NA,2026,71522.15216278625,0.06906399555448939,0.17788374954852723,0.17788374954852723
18097310203,NA,2027,76461.7600821864,0.06906402799733247,0.2560685015792666,0.2560685015792666
18097310203,NA,2028,81742.51720345898,0.06906402776494347,0.21750055182073633,0.21750055182073633
18097310204,NA,2024,96423.8792831291,0.03989085233894962,-0.19519198214166217,-0.19519198214166217
18097310204,NA,2025,102676.83383845486,0.06484861013489418,0.15206386419373202,0.15206386419373202
18097310204,NA,2026,108989.53058321368,0.06148121741551571,0.040780829705289186,0.040780829705289186
18097310204,NA,2027,115739.28573997912,0.061930307623556446,0.10573208189733087,0.10573208189733087
18097310204,NA,2028,122900.11258620906,0.06187032173602236,0.07666910439715083,0.07666910439715083
18097310305,NA,2024,46508.455960016705,0.0025967051827349152,-0.4632617628033363,-0.4632617628033363
18097310305,NA,2025,48733.57169823385,0.047843251131150843,-0.1672623060930296,-0.1672623060930296
18097310305,NA,2026,49982.67958377033,0.025631363390952844,-0.6074142740732165,-0.6074142740732165
18097310305,NA,2027,51799.72252131449,0.036353451889245436,-0.43327599752678575,-0.43327599752678575
18097310305,NA,2028,53412.51134975319,0.03113508625022221,-0.5250357307695923,-0.5250357307695923
18097310306,NA,2024,60865.56023886495,0.10544061458163734,0.2759787437424394,0.2759787437424394
18097310306,NA,2025,65616.73426352903,0.07806013788451538,0.40014957405702556,0.40014957405702556
18097310306,NA,2026,71047.23125773195,0.0827608544551004,0.42553432214048514,0.42553432214048514
