GEOID,year,zhvi_forecast,NAME,zhvi_zscore
18011810605,2024,255151.7405387399,NA,0.24487933076451135
18011810605,2025,278356.1408896926,NA,0.24831873858843054
18011810605,2026,278415.33113448333,NA,0.24661026541617923
18011810605,2027,303871.84560275445,NA,0.24372859412993184
18011810605,2028,331735.2722038388,NA,0.23461464811937593
18057110805,2024,341196.64918433235,NA,1.5375073746847172
18057110805,2025,366555.7035085307,NA,1.5473911127769875
18057110805,2026,366563.4106603409,NA,1.5452374322772602
18057110805,2027,393824.65797441377,NA,1.5499301317200866
18057110805,2028,423122.5223383045,NA,1.5512375818742516
18057110807,2024,341196.64918433235,NA,1.5375073746847172
18057110807,2025,366555.7035085307,NA,1.5473911127769875
18057110807,2026,366563.4106603409,NA,1.5452374322772602
18057110807,2027,393824.65797441377,NA,1.5499301317200866
18057110807,2028,423122.5223383045,NA,1.5512375818742516
18057110810,2024,341196.64918433235,NA,1.5375073746847172
18057110810,2025,366555.7035085307,NA,1.5473911127769875
18057110810,2026,366563.4106603409,NA,1.5452374322772602
18057110810,2027,393824.65797441377,NA,1.5499301317200866
18057110810,2028,423122.5223383045,NA,1.5512375818742516
18057110813,2024,341196.64918433235,NA,1.5375073746847172
18057110813,2025,366555.7035085307,NA,1.5473911127769875
18057110813,2026,366563.4106603409,NA,1.5452374322772602
18057110813,2027,393824.65797441377,NA,1.5499301317200866
18057110813,2028,423122.5223383045,NA,1.5512375818742516
18057110822,2024,341196.64918433235,NA,1.5375073746847172
18057110822,2025,366555.7035085307,NA,1.5473911127769875
18057110822,2026,366563.4106603409,NA,1.5452374322772602
18057110822,2027,393824.65797441377,NA,1.5499301317200866
18057110822,2028,423122.5223383045,NA,1.5512375818742516
18057111006,2024,322737.0514028475,NA,1.2601941187648762
18057111006,2025,348725.99647422566,NA,1.2847811954439736
18057111006,2026,348851.83385144523,NA,1.2843045232938997
18057111006,2027,377251.1855309155,NA,1.3092673373267227
18057111006,2028,408157.91692075046,NA,1.3356413946779655
18057111101,2024,322737.0514028475,NA,1.2601941187648762
18057111101,2025,348725.99647422566,NA,1.2847811954439736
18057111101,2026,348851.83385144523,NA,1.2843045232938997
18057111101,2027,377251.1855309155,NA,1.3092673373267227
18057111101,2028,408157.91692075046,NA,1.3356413946779655
18057111103,2024,278296.453596845,NA,0.5925757330074267
18057111103,2025,300366.69713705365,NA,0.5725074841158716
18057111103,2026,300512.6650659974,NA,0.5721556240107193
18057111103,2027,324689.51694004546,NA,0.5460212472764076
18057111103,2028,351019.69302697666,NA,0.5124467382913036
18057111104,2024,322737.0514028475,NA,1.2601941187648762
18057111104,2025,348725.99647422566,NA,1.2847811954439736
18057111104,2026,348851.83385144523,NA,1.2843045232938997
18057111104,2027,377251.1855309155,NA,1.3092673373267227
18057111104,2028,408157.91692075046,NA,1.3356413946779655
18059410801,2024,225327.2137918228,NA,-0.20316600133647245
18059410801,2025,247645.10201122705,NA,-0.20401754296501273
18059410801,2026,247645.1172390108,NA,-0.20670687898133727
18059410801,2027,272173.5507439406,NA,-0.21656119995118908
18059410801,2028,299131.46319133596,NA,-0.23511086184468558
18059410802,2024,300283.2652560791,NA,0.9228773138270326
18059410802,2025,325761.09273996553,NA,0.9465360711908851
18059410802,2026,325778.963420152,NA,0.9443872327447201
18059410802,2027,353459.6597509771,NA,0.9637914512924765
18059410802,2028,383514.3627823247,NA,0.9805998708314737
18059410901,2024,224900.77747719284,NA,-0.20957223208171155
18059410901,2025,247295.0065411484,NA,-0.20917402379103645
18059410901,2026,247295.17846691931,NA,-0.21186229471609208
18059410901,2027,271919.6805486455,NA,-0.22024763988230148
18059410901,2028,298996.3825477516,NA,-0.23705697875911144
18059410902,2024,224995.94010721345,NA,-0.20814263111828316
18059410902,2025,247301.33908023903,NA,-0.20908075318575406
18059410902,2026,247301.3626374819,NA,-0.21177118743456885
18059410902,2027,271818.1036801805,NA,-0.22172263391833422
18059410902,2028,298765.3918418684,NA,-0.2403848790997229
18063210106,2024,414379.97826295474,NA,2.6369195886497336
18063210106,2025,441001.52497485414,NA,2.6438875938153
18063210106,2026,441289.85306372575,NA,2.6461325250563252
18063210106,2027,470331.92819699267,NA,2.6608894376799674
18063210106,2028,501716.43737806455,NA,2.683545982035912
18063210107,2024,416137.227864706,NA,2.6633182466429357
18063210107,2025,442798.62562033866,NA,2.670356702423858
18063210107,2026,443088.9510598898,NA,2.6726374420803953
18063210107,2027,472173.8158483912,NA,2.687635421700842
18063210107,2028,503602.30020114937,NA,2.710715748487313
18063210108,2024,287176.0135016118,NA,0.7259708208893515
18063210108,2025,311744.2389245688,NA,0.7400848482600788
18063210108,2026,311824.05603338586,NA,0.7387988416990718
18063210108,2027,338684.8879635837,NA,0.7492475241220875
18063210108,2028,367966.6224599352,NA,0.7566024155365229
18063210109,2024,287176.0135016118,NA,0.7259708208893515
18063210109,2025,311744.2389245688,NA,0.7400848482600788
18063210109,2026,311824.05603338586,NA,0.7387988416990718
18063210109,2027,338684.8879635837,NA,0.7492475241220875
18063210109,2028,367966.6224599352,NA,0.7566024155365229
18063210607,2024,264066.7633851426,NA,0.3788071682721845
18063210607,2025,287366.99670016504,NA,0.3810376943702025
18063210607,2026,287523.0002731558,NA,0.38078751163505836
18063210607,2027,313264.8006110343,NA,0.38012335434752176
18063210607,2028,341538.0930719335,NA,0.375844620040336
18063210608,2024,264066.7633851426,NA,0.3788071682721845
18063210608,2025,287366.99670016504,NA,0.3810376943702025
18063210608,2026,287523.0002731558,NA,0.38078751163505836
18063210608,2027,313264.8006110343,NA,0.38012335434752176
18063210608,2028,341538.0930719335,NA,0.375844620040336
18063210611,2024,287176.0135016118,NA,0.7259708208893515
18063210611,2025,311744.2389245688,NA,0.7400848482600788
18063210611,2026,311824.05603338586,NA,0.7387988416990718
18063210611,2027,338684.8879635837,NA,0.7492475241220875
18063210611,2028,367966.6224599352,NA,0.7566024155365229
18063210614,2024,264066.7633500627,NA,0.3788071677451893
18063210614,2025,287366.99664135725,NA,0.3810376935040353
18063210614,2026,287523.0002169756,NA,0.3807875108073923
18063210614,2027,313264.8005339944,NA,0.3801233532288276
18063210614,2028,341538.0929750294,NA,0.3758446186442312
18063210616,2024,287176.0135016118,NA,0.7259708208893515
18063210616,2025,311744.2389245688,NA,0.7400848482600788
18063210616,2026,311824.05603338586,NA,0.7387988416990718
18063210616,2027,338684.8879635837,NA,0.7492475241220875
18063210616,2028,367966.6224599352,NA,0.7566024155365229
18063210617,2024,287176.0135016118,NA,0.7259708208893515
18063210617,2025,311744.2389245688,NA,0.7400848482600788
18063210617,2026,311824.05603338586,NA,0.7387988416990718
18063210617,2027,338684.8879635837,NA,0.7492475241220875
18063210617,2028,367966.6224599352,NA,0.7566024155365229
18097310104,2024,255151.7405387399,NA,0.24487933076451135
18097310104,2025,278356.1408896926,NA,0.24831873858843054
18097310104,2026,278415.33113448333,NA,0.24661026541617923
18097310104,2027,303871.84560275445,NA,0.24372859412993184
18097310104,2028,331735.2722038388,NA,0.23461464811937593
18097310105,2024,311660.0661203283,NA,1.0937877381473855
18097310105,2025,335714.39961896645,NA,1.0931361859126485
18097310105,2026,335874.3882508578,NA,1.093116428169933
18097310105,2027,362175.34698701586,NA,1.0903516306655394
18097310105,2028,390764.07520715514,NA,1.0850470188484547
18097310106,2024,260670.20078437592,NA,0.327781580125355
18097310106,2025,283570.98300227604,NA,0.32512702564863577
18097310106,2026,283650.84502744034,NA,0.3237416176866295
18097310106,2027,308755.90343080857,NA,0.3146498213432066
18097310106,2028,336191.78541600774,NA,0.29881996659749865
18097310108,2024,261223.39934508357,NA,0.33609212382495174
18097310108,2025,284623.9187999779,NA,0.34063549038445246
18097310108,2026,284694.0353213935,NA,0.339110248100591
18097310108,2027,310359.1548938031,NA,0.337930577896483
18097310108,2028,338432.61975926935,NA,0.3311038342348628
18097310110,2024,224709.86374248657,NA,-0.2124402744950903
18097310110,2025,246663.43763148037,NA,-0.218476266325864
18097310110,2026,246709.7220193894,NA,-0.22048743609031018
18097310110,2027,270919.6639445653,NA,-0.23476884484994961
18097310110,2028,297567.7409946572,NA,-0.25763952424714825
18097310111,2024,224709.86374248657,NA,-0.2124402744950903
18097310111,2025,246663.43763148037,NA,-0.218476266325864
18097310111,2026,246709.7220193894,NA,-0.22048743609031018
18097310111,2027,270919.6639445653,NA,-0.23476884484994961
18097310111,2028,297567.7409946572,NA,-0.25763952424714825
18097310112,2024,416137.227864706,NA,2.6633182466429357
18097310112,2025,442798.62562033866,NA,2.670356702423858
18097310112,2026,443088.9510598898,NA,2.6726374420803953
18097310112,2027,472173.8158483912,NA,2.687635421700842
18097310112,2028,503602.30020114937,NA,2.710715748487313
18097310113,2024,416056.1420630709,NA,2.6621001178447634
18097310113,2025,442715.69313851057,NA,2.669135207748977
18097310113,2026,443005.92679079814,NA,2.6714143006128652
18097310113,2027,472088.80867707945,NA,2.6864010356383488
18097310113,2028,503515.254349565,NA,2.709461672406508
18097310201,2024,255151.7405387399,NA,0.24487933076451135
18097310201,2025,278356.1408896926,NA,0.24831873858843054
18097310201,2026,278415.33113448333,NA,0.24661026541617923
18097310201,2027,303871.84560275445,NA,0.24372859412993184
18097310201,2028,331735.2722038388,NA,0.23461464811937593
18097310203,2024,304932.8155269603,NA,0.9927261772445395
18097310203,2025,328856.58896260645,NA,0.9921289687953337
18097310203,2026,329005.89254368964,NA,0.9919274383612463
18097310203,2027,355170.16616643476,NA,0.9886296531343182
18097310203,2028,383627.0335805306,NA,0.9822231274308797
18097310204,2024,256370.59414692185,NA,0.2631898197890126
18097310204,2025,279506.2243108676,NA,0.2652580697608237
18097310204,2026,279569.8940553228,NA,0.263619674843106
18097310204,2027,304946.0914226463,NA,0.2593276788577667
18097310204,2028,332711.3134436555,NA,0.2486765471123138
18097310305,2024,224709.86374248657,NA,-0.2124402744950903
18097310305,2025,246663.43763148037,NA,-0.218476266325864
18097310305,2026,246709.7220193894,NA,-0.22048743609031018
18097310305,2027,270919.6639445653,NA,-0.23476884484994961
18097310305,2028,297567.7409946572,NA,-0.25763952424714825
18097310306,2024,224709.86374248657,NA,-0.2124402744950903
18097310306,2025,246663.43763148037,NA,-0.218476266325864
18097310306,2026,246709.7220193894,NA,-0.22048743609031018
18097310306,2027,270919.6639445653,NA,-0.23476884484994961
18097310306,2028,297567.7409946572,NA,-0.25763952424714825
18097310308,2024,260412.19607957857,NA,0.32390564926397114
18097310308,2025,283980.3181465187,NA,0.3311560348849761
18097310308,2026,284025.03128108557,NA,0.329254255478212
18097310308,2027,309832.36256749765,NA,0.3302810455642656
18097310308,2028,338043.37045135244,NA,0.32549589040246235
18097310309,2024,224709.86374257,NA,-0.2124402744938368
18097310309,2025,246663.4376315899,NA,-0.21847626632425052
18097310309,2026,246709.7220194933,NA,-0.2204874360887795
18097310309,2027,270919.6639446866,NA,-0.23476884484818814
18097310309,2028,297567.7409947909,NA,-0.257639524245222
18097310310,2024,224709.86374248657,NA,-0.2124402744950903
18097310310,2025,246663.43763148037,NA,-0.218476266325864
18097310310,2026,246709.7220193894,NA,-0.22048743609031018
18097310310,2027,270919.6639445653,NA,-0.23476884484994961
18097310310,2028,297567.7409946572,NA,-0.25763952424714825
18097310311,2024,268025.01791112905,NA,0.43827089350360465
18097310311,2025,291951.92476314143,NA,0.44856811297323473
18097310311,2026,291996.3805548427,NA,0.4466908551083008
18097310311,2027,318164.61232665787,NA,0.45127334319285284
18097310311,2028,346736.1493950812,NA,0.4507334054664854
18097310312,2024,224709.86374248657,NA,-0.2124402744950903
18097310312,2025,246663.43763148037,NA,-0.218476266325864
18097310312,2026,246709.7220193894,NA,-0.22048743609031018
18097310312,2027,270919.6639445653,NA,-0.23476884484994961
18097310312,2028,297567.7409946572,NA,-0.25763952424714825
18097320105,2024,305659.5079597998,NA,1.0036430697461278
18097320105,2025,326911.4115244342,NA,0.9634788689785725
18097320105,2026,327132.71703641233,NA,0.9643311865185101
18097320105,2027,350407.8967404912,NA,0.9194769109067067
18097320105,2028,375668.0515174768,NA,0.867557478796724
18097320106,2024,305659.5079597998,NA,1.0036430697461278
18097320106,2025,326911.4115244342,NA,0.9634788689785725
18097320106,2026,327132.71703641233,NA,0.9643311865185101
18097320106,2027,350407.8967404912,NA,0.9194769109067067
18097320106,2028,375668.0515174768,NA,0.867557478796724
18097320107,2024,305659.5079597998,NA,1.0036430697461278
18097320107,2025,326911.4115244342,NA,0.9634788689785725
18097320107,2026,327132.71703641233,NA,0.9643311865185101
18097320107,2027,350407.8967404912,NA,0.9194769109067067
18097320107,2028,375668.0515174768,NA,0.867557478796724
18097320108,2024,305659.5079597998,NA,1.0036430697461278
