GEOID,NAME,year,percent_bachelors_plus,edu_delta,edu_delta_zscore_raw,edu_delta_zscore
18097310103,NA,2025,59.04081933084794,0.011214713525085296,-0.16637190551202533,-0.16637190551202533
18097310103,NA,2026,57.76747169861494,-0.021567241895772526,-0.6303653088452484,-0.6303653088452484
18097310103,NA,2027,58.30013819965454,0.009220872670672398,-0.11062622011781868,-0.11062622011781868
18097310103,NA,2028,57.14117263754419,-0.019879293564302736,-0.45708727683499456,-0.45708727683499456
18097310104,NA,2024,57.61027224604093,0.016028575238419496,0.0388945578516545,0.0388945578516545
18097310104,NA,2025,58.67645205034061,0.018506765594619168,-0.057477129120176364,-0.057477129120176364
18097310104,NA,2026,59.707626973638426,0.01757391401942865,0.009125824712799878,0.009125824712799878
18097310104,NA,2027,60.74658991993565,0.01740084138255793,0.02333876716993255,0.02333876716993255
18097310104,NA,2028,61.78382015637917,0.017074707202669348,0.10388851816660043,0.10388851816660043
18097310105,NA,2024,51.54541922748925,0.11887265659669644,0.8555369664685768,0.8555369664685768
18097310105,NA,2025,55.84768901779452,0.08346560867645181,0.9125761048142241,0.9125761048142241
18097310105,NA,2026,59.2867902118268,0.061580009030212324,0.7281006971687246,0.7281006971687246
18097310105,NA,2027,62.09130228774994,0.04730416448424424,0.5130714837948983,0.5130714837948983
18097310105,NA,2028,64.42927358524194,0.037653764880902996,0.4162864453688061,0.4162864453688061
18097310106,NA,2024,47.65379785354519,0.10727003155416082,0.7634053091493125,0.7634053091493125
18097310106,NA,2025,47.428993212084904,-0.004717454884733074,-0.4042925758364972,-0.4042925758364972
18097310106,NA,2026,51.043565357438425,0.07621018074725927,0.9671295371895102,0.9671295371895102
18097310106,NA,2027,51.61339927477216,0.011163677798433858,-0.07880851110079377,-0.07880851110079377
18097310106,NA,2028,54.59779977202689,0.05782220390807424,0.7224510251812458,0.7224510251812458
18097310108,NA,2024,74.29017316260122,0.020477153399979686,0.07421888120402384,0.07421888120402384
18097310108,NA,2025,75.57909931371046,0.017349887558992805,-0.07475319541823656,-0.07475319541823656
18097310108,NA,2026,76.90891498382292,0.017595018757669,0.009470635505051594,0.009470635505051594
18097310108,NA,2027,78.23044542843377,0.017183059270681644,0.019772105868818456,0.019772105868818456
18097310108,NA,2028,79.55365466416973,0.01691424903040395,0.10145270204702252,0.10145270204702252
18097310110,NA,2024,51.12830932948798,0.016175147923573663,0.04005843105719911,0.04005843105719911
18097310110,NA,2025,51.83533646798177,0.013828486561866749,-0.12733951412681757,-0.12733951412681757
