GEOID,year,zori_forecast,NAME,zori_zscore_raw,zori_zscore
18011810605,2024,1669.201997988326,NA,0.8691160931102746,0.8691160931102746
18011810605,2025,1802.0916751286788,NA,0.8313264481888409,0.8313264481888409
18011810605,2026,1951.8975332807977,NA,0.742239559252475,0.742239559252475
18011810605,2027,2111.3187738963034,NA,0.6417632355895254,0.6417632355895254
18011810605,2028,2285.028251675553,NA,0.5304954475749519,0.5304954475749519
18057111103,2024,898.2417585204249,NA,-1.0611670032103278,-1.0611670032103278
18057111103,2025,972.8449217380172,NA,-1.0309537285779429,-1.0309537285779429
18057111103,2026,1053.928254093772,NA,-0.9692611860066481,-0.9692611860066481
18057111103,2027,1141.707095116924,NA,-0.8903378440190455,-0.8903378440190455
18057111103,2028,1236.8105550735168,NA,-0.7982648712206245,-0.7982648712206245
18059410802,2024,1814.3299017816096,NA,1.2324784627312588,1.2324784627312588
18059410802,2025,1902.2732839304497,NA,1.0563092092129898,1.0563092092129898
18059410802,2026,1993.0045141460496,NA,0.8205881509213643,0.8205881509213643
18059410802,2027,2087.0465286944045,NA,0.603410218714597,0.603410218714597
18059410802,2028,2184.825292974873,NA,0.4034743948117821,0.4034743948117821
18059410902,2024,1592.9529522534738,NA,0.6782083957248122,0.6782083957248122
18059410902,2025,1663.749156933084,NA,0.5206438580113877,0.5206438580113877
18059410902,2026,1821.3687123970476,NA,0.49345579860691297,0.49345579860691297
18059410902,2027,2015.9789292078433,NA,0.49111500994027635,0.49111500994027635
18059410902,2028,2149.8242258227606,NA,0.3591057209208631,0.3591057209208631
18063210106,2024,1998.840165327559,NA,1.694443976110025,1.694443976110025
18063210106,2025,2116.798963513809,NA,1.5380800679615967,1.5380800679615967
18063210106,2026,2334.482894863905,NA,1.4714350302462451,1.4714350302462451
18063210106,2027,2503.358629706541,NA,1.2612325545777108,1.2612325545777108
18063210106,2028,2737.0214855629274,NA,1.103459132027658,1.103459132027658
18063210108,2024,1998.840262735416,NA,1.6944442199938603,1.6944442199938603
18063210108,2025,2116.79883211636,NA,1.5380797728758886,1.5380797728758886
18063210108,2026,2334.482952021144,NA,1.4714351391861151,1.4714351391861151
18063210108,2027,2503.3584153125644,NA,1.2612322158098823,1.2612322158098823
18063210108,2028,2737.021435976542,NA,1.103459069170084,1.103459069170084
18063210109,2024,1998.840262735416,NA,1.6944442199938603,1.6944442199938603
18063210109,2025,2116.79883211636,NA,1.5380797728758886,1.5380797728758886
18063210109,2026,2334.482952021144,NA,1.4714351391861151,1.4714351391861151
18063210109,2027,2503.3584153125644,NA,1.2612322158098823,1.2612322158098823
18063210109,2028,2737.021435976542,NA,1.103459069170084,1.103459069170084
18063210611,2024,1998.840262735416,NA,1.6944442199938603,1.6944442199938603
18063210611,2025,2116.79883211636,NA,1.5380797728758886,1.5380797728758886
18063210611,2026,2334.482952021144,NA,1.4714351391861151,1.4714351391861151
