GEOID,NAME,year,call_volume,call_volume_zscore_raw,income_z,white_z,zori_z,stage_score,valid_n,stage_weight,call_volume_zscore_adj_raw,call_volume_zscore
18097310104,NA,2024,743.8523998796907,0.20475035755800064,0.11718306385222796,0.5586046183137411,0.9719323113356956,0.5492399978338882,3,late,-0.20475035755800064,-0.20475035755800064
18097310104,NA,2025,858.8061327645091,0.4089429145988393,0.11718306385222796,0.5586046183137411,0.9719323113356956,0.5492399978338882,3,late,-0.4089429145988393,-0.4089429145988393
18097310104,NA,2026,1013.1622322854906,0.49000561336281456,0.11718306385222796,0.5586046183137411,0.9719323113356956,0.5492399978338882,3,late,-0.49000561336281456,-0.49000561336281456
18097310104,NA,2027,1189.4334572603157,0.6503556080621492,0.11718306385222796,0.5586046183137411,0.9719323113356956,0.5492399978338882,3,late,-0.6503556080621492,-0.6503556080621492
18097310104,NA,2028,1397.9186757642972,0.7380949901130263,0.11718306385222796,0.5586046183137411,0.9719323113356956,0.5492399978338882,3,late,-0.7380949901130263,-0.7380949901130263
18097310105,NA,2024,1015.6675054602622,0.9309513912651733,-0.21738193850019805,-0.531349676936181,0.9719323113356956,0.07440023196643886,3,middle,0,0
18097310105,NA,2025,1190.2613449300466,1.2436151674439264,-0.21738193850019805,-0.531349676936181,0.9719323113356956,0.07440023196643886,3,middle,0,0
18097310105,NA,2026,1410.89726540345,1.3485628845868474,-0.21738193850019805,-0.531349676936181,0.9719323113356956,0.07440023196643886,3,middle,0,0
18097310105,NA,2027,1669.2445822801403,1.570393950438111,-0.21738193850019805,-0.531349676936181,0.9719323113356956,0.07440023196643886,3,middle,0,0
18097310105,NA,2028,1975.5265806901907,1.6827799804107757,-0.21738193850019805,-0.531349676936181,0.9719323113356956,0.07440023196643886,3,middle,0,0
18097310106,NA,2024,776.2754509654158,0.2913741423697488,-0.20020450845908797,-0.6678202455661919,0.8747791253388179,0.002251457104512661,3,middle,0,0
18097310106,NA,2025,894.9538021015713,0.49997016501841207,-0.20020450845908797,-0.6678202455661919,0.8747791253388179,0.002251457104512661,3,middle,0,0
18097310106,NA,2026,1052.2284677722746,0.5743346207263206,-0.20020450845908797,-0.6678202455661919,0.8747791253388179,0.002251457104512661,3,middle,0,0
18097310106,NA,2027,1231.8557597621027,0.7317004182140671,-0.20020450845908797,-0.6678202455661919,0.8747791253388179,0.002251457104512661,3,middle,0,0
18097310106,NA,2028,1443.4951778377126,0.8126359322501562,-0.20020450845908797,-0.6678202455661919,0.8747791253388179,0.002251457104512661,3,middle,0,0
18097310108,NA,2024,369.620923562173,-0.7950737117006716,2.072251020945012,0.6176064192820284,1.3394234912806782,1.3430936438359062,3,late,0.7950737117006716,0.7950737117006716
18097310108,NA,2025,403.49855981573023,-0.7376150024351756,2.072251020945012,0.6176064192820284,1.3394234912806782,1.3430936438359062,3,late,0.7376150024351756,0.7376150024351756
18097310108,NA,2026,460.78523708300656,-0.7023642967509975,2.072251020945012,0.6176064192820284,1.3394234912806782,1.3430936438359062,3,late,0.7023642967509975,0.7023642967509975
18097310108,NA,2027,516.8739619203596,-0.6392779393388621,2.072251020945012,0.6176064192820284,1.3394234912806782,1.3430936438359062,3,late,0.6392779393388621,0.6392779393388621
18097310108,NA,2028,583.9234543853001,-0.5932044281480345,2.072251020945012,0.6176064192820284,1.3394234912806782,1.3430936438359062,3,late,0.5932044281480345,0.5932044281480345
18097310110,NA,2024,372.6763423930747,-0.7869106322107737,-0.17371441040718444,-0.4396746317006148,0.6844980667012147,0.02370300819780515,3,middle,0,0
18097310110,NA,2025,396.3453822802851,-0.7556281716036514,-0.17371441040718444,-0.4396746317006148,0.6844980667012147,0.02370300819780515,3,middle,0,0
18097310110,NA,2026,445.3293667020662,-0.7357275883741345,-0.17371441040718444,-0.4396746317006148,0.6844980667012147,0.02370300819780515,3,middle,0,0
18097310110,NA,2027,488.6697328407615,-0.6933595785866249,-0.17371441040718444,-0.4396746317006148,0.6844980667012147,0.02370300819780515,3,middle,0,0
