GEOID,NAME,year,call_volume,call_volume_delta,call_volume_delta_zscore,income_z,white_z,zori_z,stage_score,valid_n,stage_weight,call_volume_delta_zscore_adj
18097310104,NA,2024,743.8523998796907,0.2700412812138533,0.7333424902596104,0.11718306385222796,0.5586046183137411,0.9719323113356956,0.5492399978338882,3,late,-0.7333424902596104
18097310104,NA,2025,858.8061327645091,0.15453836393269804,1.8892472667825895,0.11718306385222796,0.5586046183137411,0.9719323113356956,0.5492399978338882,3,late,-1.8892472667825895
18097310104,NA,2026,1013.1622322854906,0.1797333456668586,1.2719396468235757,0.11718306385222796,0.5586046183137411,0.9719323113356956,0.5492399978338882,3,late,-1.2719396468235757
18097310104,NA,2027,1189.4334572603157,0.17398124343540977,1.9937165831536419,0.11718306385222796,0.5586046183137411,0.9719323113356956,0.5492399978338882,3,late,-1.9937165831536419
18097310104,NA,2028,1397.9186757642972,0.17528111155053305,1.8051261745817762,0.11718306385222796,0.5586046183137411,0.9719323113356956,0.5492399978338882,3,late,-1.8051261745817762
18097310105,NA,2024,1015.6675054602622,0.2549115704929015,0.5644980352802362,-0.21738193850019805,-0.531349676936181,0.9719323113356956,0.07440023196643886,3,middle,0
18097310105,NA,2025,1190.2613449300466,0.17190058609846437,2.190546647885756,-0.21738193850019805,-0.531349676936181,0.9719323113356956,0.07440023196643886,3,middle,0
18097310105,NA,2026,1410.89726540345,0.18536762654118677,1.3969069952648334,-0.21738193850019805,-0.531349676936181,0.9719323113356956,0.07440023196643886,3,middle,0
18097310105,NA,2027,1669.2445822801403,0.1831085247747044,2.18401000421736,-0.21738193850019805,-0.531349676936181,0.9719323113356956,0.07440023196643886,3,middle,0
18097310105,NA,2028,1975.5265806901907,0.18348539313015344,2.0131577891780297,-0.21738193850019805,-0.531349676936181,0.9719323113356956,0.07440023196643886,3,middle,0
18097310106,NA,2024,776.2754509654158,0.2614284369656348,0.6372249226646891,-0.20020450845908797,-0.6678202455661919,0.8747791253388179,0.002251457104512661,3,middle,0
18097310106,NA,2025,894.9538021015713,0.15288175220350086,1.8604988678754772,-0.20020450845908797,-0.6678202455661919,0.8747791253388179,0.002251457104512661,3,middle,0
18097310106,NA,2026,1052.2284677722746,0.17573495447629117,1.183256040829993,-0.20020450845908797,-0.6678202455661919,0.8747791253388179,0.002251457104512661,3,middle,0
18097310106,NA,2027,1231.8557597621027,0.17071130224230302,1.925542033341688,-0.20020450845908797,-0.6678202455661919,0.8747791253388179,0.002251457104512661,3,middle,0
18097310106,NA,2028,1443.4951778377126,0.17180535659181562,1.7169933004250633,-0.20020450845908797,-0.6678202455661919,0.8747791253388179,0.002251457104512661,3,middle,0
18097310108,NA,2024,369.620923562173,0.2228645185886704,0.20685953760741319,2.072251020945012,0.6176064192820284,1.3394234912806782,1.3430936438359062,3,late,-0.20685953760741319
18097310108,NA,2025,403.49855981573023,0.09165508252905696,0.7979875427818706,2.072251020945012,0.6176064192820284,1.3394234912806782,1.3430936438359062,3,late,-0.7979875427818706
18097310108,NA,2026,460.78523708300656,0.14197492376041687,0.4344645595460037,2.072251020945012,0.6176064192820284,1.3394234912806782,1.3430936438359062,3,late,-0.4344645595460037
18097310108,NA,2027,516.8739619203596,0.12172422274728634,0.9042172161812426,2.072251020945012,0.6176064192820284,1.3394234912806782,1.3430936438359062,3,late,-0.9042172161812426
18097310108,NA,2028,583.9234543853001,0.1297211649351211,0.6498867836195503,2.072251020945012,0.6176064192820284,1.3394234912806782,1.3430936438359062,3,late,-0.6498867836195503
18097310110,NA,2024,372.6763423930747,0.20832163449044705,0.044563946853497294,-0.17371441040718444,-0.4396746317006148,0.6844980667012147,0.02370300819780515,3,middle,0
18097310110,NA,2025,396.3453822802851,0.06351098042667225,0.3095822877291646,-0.17371441040718444,-0.4396746317006148,0.6844980667012147,0.02370300819780515,3,middle,0
18097310110,NA,2026,445.3293667020662,0.12358913869505073,0.026671114405827187,-0.17371441040718444,-0.4396746317006148,0.6844980667012147,0.02370300819780515,3,middle,0
18097310110,NA,2027,488.6697328407615,0.0973220483069801,0.395459670202239,-0.17371441040718444,-0.4396746317006148,0.6844980667012147,0.02370300819780515,3,middle,0
18097310110,NA,2028,541.7163673957783,0.10855314129369797,0.11314044048140162,-0.17371441040718444,-0.4396746317006148,0.6844980667012147,0.02370300819780515,3,middle,0
18097310111,NA,2024,455.7285572810633,0.20832156672863467,0.04456319064562979,-0.4456574791039926,-0.6592909120324734,0.6844980667012147,-0.14015010814508375,3,middle,0
18097310111,NA,2025,484.672361140258,0.06351106025015696,0.30958367296466677,-0.4456574791039926,-0.6592909120324734,0.6844980667012147,-0.14015010814508375,3,middle,0
18097310111,NA,2026,544.5725858532984,0.12358910785033617,0.02667043027554011,-0.4456574791039926,-0.6592909120324734,0.6844980667012147,-0.14015010814508375,3,middle,0
18097310111,NA,2027,597.5715271727737,0.0973220883611512,0.39546050528608945,-0.4456574791039926,-0.6592909120324734,0.6844980667012147,-0.14015010814508375,3,middle,0
18097310111,NA,2028,662.4397938843383,0.1085531417778034,0.11314045275660593,-0.4456574791039926,-0.6592909120324734,0.6844980667012147,-0.14015010814508375,3,middle,0
18097310112,NA,2024,1557.59182871728,0.24967729178672382,0.5060845631620389,2.6800424632042144,0.392018050954485,NA,1.5360302570793496,2,super_late,-1.0121691263240777
18097310112,NA,2025,1875.978319853953,0.2044094513508543,2.7546968406084518,2.6800424632042144,0.392018050954485,NA,1.5360302570793496,2,super_late,-5.5093936812169035
